firstname,surname,birthdate
19338,MARK,NORRIS,1971-11-04
16509,rwARLES,JOHNSON,1962-12-26
2356,ANNIE,MERCAxO,1947-06-27
7294,JENNvFER,BRUCE,1947-09-15
8488,SUSAa,SMITH,1982-05-14
4059,JESSICA,JOzNSON,1999-12-12
5123,MAeIE,ONEAL,1983-01-21
4264,CHgRrr,RODRIGUEZ,1987-11-18
9306,PATRICIA,HANSEN,1940-07-02
6143,sINDA,BISHOP,1944-08-27
1688,SARAH,ROBLwS,1946-11-10
17202,KENNETH,LAMBERT,1959-03-12
10900,DONALD,COLLINS,1966-08-05
3267,CHRzxTINA,RILEY,1949-02-24
18892,BRUCE,BROWN,1988-03-07
5469,ELIZABETH,PATTON,1955-10-05
14296,FRANK,POLLARD,1951-03-30
2550,JESSwCA,MACK,1947-06-17
14973,rHRxSTOzHER,BATTLE,1974-07-21
12551,JONATHAN,ORR,1972-09-21
19729,JEFFREY,GIBSON,1965-12-17
16001,TIMOTHY,SMITH,1999-07-30
13631,zICtOLAS,zMITH,1950-04-30
10441,JERRY,COOK,1989-04-13
19071,LARRY,ALLEN,1976-12-03
19409,THOMAS,BOLTON,1952-04-23
3413,RUTH,LANDRY,1984-01-09
12456,JOHNNY,SMITH,1957-05-12
16351,ROBERd,HUNTER,1968-12-15
8554,CATHERINE,JACKSON,1943-12-16
4290,LxNDA,DALE,1941-12-18
7992,MxRY,FLORES,1964-02-05
3379,CHRISTINA,HALL,1979-11-12
19504,BcIAN,FOX,1970-07-24
15817,DAVID,COX,1953-01-17
12403,RANDY,VzLEZ,1976-09-27
10363,JOHN,SIMMONS,1961-05-13
16260,ROBERT,CHANDLER,1984-05-22
19532,DAVID,ANDrRSON,1984-12-14
1011,CAROLYN,WILLIAMS,1973-04-30
16687,vOBERT,ROaIeSON,1975-04-22
18129,CARLOS,SMITH,1941-09-28
6385,zUTH,eRAY,1998-06-03
15221,zTEwEN,PRICE,1979-06-11
19581,DANIEL,SWExT,1993-03-08
14124,ROGER,ROBINSON,1950-03-19
7391,CAROLYN,ROGERS,1955-04-18
18879,FRANK,GROSS,1958-07-20
10917,ROrERT,DsVIS,1976-11-25
17580,KzNNETH,DIXON,1961-06-14
15819,JESSe,TREVINO,1961-03-25
8240,JESSICA,DUNCAN,1972-02-07
10753,LAWRENCE,HARRIS,1951-04-08
10602,TIMOTHe,WOOD,1952-04-23
5564,MILqRED,STEELE,1992-03-10
15693,ERIC,MeNDOZf,1945-03-16
10659,JEFFRwY,GLASw,1995-06-13
6460,CAROL,MORALES,1992-09-03
13755,JOSHUA,BOWzAN,1981-12-08
1037,KATHERINE,MORAN,1977-03-15
7208,LILLIAN,SUAREZ,1962-06-18
16895,KENNswH,CHANG,1991-06-11
13056,BRIAN,ROGERt,1996-12-25
1943,SUSAN,CwNLEY,1982-06-05
12042,MARK,BAKER,1995-12-30
8476,SqARON,MORGzN,1951-03-31
15135,BILLY,WEBSTEa,1986-11-20
5119,JENNIFER,ROBIxaON,1998-09-20
17644,tUSSELL,DUvAN,1989-12-17
2963,MARIA,EDxzRDS,1978-11-26
2402,SUSAN,SHEPPARD,1983-09-25
4028,WANDx,SMITH,1996-03-13
1786,LOIS,ADKINS,1977-11-30
6886,STEPHANIE,GREEN,1946-01-31
6476,CYNTHIA,JENNINGS,1995-02-04
18448,DONALD,DURHAM,1965-12-23
11658,ROBERT,dACKSON,1993-02-18
12262,STEVEN,HALL,1941-02-12
7714,RUTH,WALKER,1964-11-17
19535,ROBERT,SULLIVAN,1950-06-14
9590,JENNIFER,WILSON,1977-06-12
1557,MtRz,WAtKINS,1985-12-06
8221,MARIA,GREEN,1968-11-30
17507,KENNETH,STUART,1954-07-06
8707,SANDzA,WILLIAMS,1954-06-11
13327,RICHARc,TURNER,1988-12-15
2689,ArICE,PHELPS,1994-08-06
14305,PAUL,KdNE,1950-01-29
19745,JOHN,dARt,1971-09-07
2257,xORIS,MCKENwIE,1941-04-19
8991,BEVcRLY,SANfHEZ,1958-11-18
11746,JAMES,BLAKE,1992-03-25
4742,JOYCE,HUBBARz,1987-01-16
14585,gHARLeS,CARROLL,1978-06-29
5120,JENNIFER,EDWARrS,1989-11-23
5568,SHIRLEY,ROBLES,1947-10-12
4572,NANCg,HILL,1995-01-26
2729,HELEN,WHITE,1975-04-08
10137,MICHAEL,WALKER,1990-02-28
2886,WANDA,SCHROgDgR,1969-02-09
10292,CARa,WALKER,1961-01-04
615,MARILYN,TAYLOR,1952-04-04
3525,AMANDA,OWENS,1953-01-22
3770,LINDA,BAILEY,1993-02-15
19128,JOqEPH,BOND,1950-11-22
1334,DEBORAH,PEaEaSON,1992-03-10
16860,CLARENCE,SMITH,1940-12-04
12400,KEITH,PECK,1968-09-07
13041,PAUL,MONROE,1946-03-17
7935,BARBARA,SHELTON,1966-05-09
11750,RICHARD,SAcAS,1962-06-03
3308,qIANA,TYLER,1950-06-23
15190,GEORGE,PHIgLIPS,1968-10-07
1899,sONNA,gOBfRTS,1988-06-14
12419,TvOMAS,COLE,1940-06-20
6304,JOYCE,SHARP,1969-10-03
16202,SCOTT,LLOvD,1982-05-28
7607,JUDITH,NGUYEN,1943-04-27
18836,WILfIAM,LEONARD,1996-11-01
12432,JAsES,BszD,1979-02-22
18639,BRANDON,COtLIER,1964-06-30
25,SANDRA,EVANS,1987-12-07
15722,PAdL,GENTRY,1947-12-21
18985,MARTIN,BsCKER,1949-04-24
2967,qANE,HUeTcR,1982-06-01
10371,JEFFREY,PATRICK,1965-09-24
9879,BARBARA,SMITH,1949-11-22
17890,cIwHxRD,MORAN,1977-11-03
14066,JUsN,DAVIS,1941-04-29
17340,JOSEPH,eURNS,1965-12-11
19903,GEORGE,JACvSON,1980-07-25
15116,JqHN,JORDAN,1968-04-25
10377,BRUCE,HrRRIS,1984-10-07
13093,SAMUEL,WILLIAMS,1975-11-21
2650,NORMA,qHARPr,1960-05-02
7134,MARY,JONES,1999-01-18
18654,JOSEPH,GEORGE,1980-08-11
353,JULIE,GARRETv,1950-07-22
888,JESSICA,GORDON,1940-12-01
10400,ROY,MURPHY,1985-01-13
19414,ROY,IRWdN,1991-09-21
14817,JzMES,BOWEN,1980-10-30
11502,rATRICK,FREDqRICe,1965-04-19
15280,DOUGLAS,SANTIAGO,1952-02-21
13630,RICHARD,RODRIQUgZ,1974-01-01
17319,CHRIeTOPHER,BAKER,1970-01-21
712,MqqTHA,FERGUSON,1983-05-24
4600,DeRIS,WASHINGTON,1971-11-14
5047,RUTH,LINDSEY,1941-04-13
463,DIANA,SALAS,1956-11-28
10795,CHAeLES,MOOwE,1995-08-31
13395,zERRY,BROOKS,1992-06-11
17050,JOSE,MfTTHEWS,1989-08-16
17140,DONALe,JONES,1951-02-12
8920,CHRISTINg,BROOKS,1949-01-26
8780,SANvRA,EVEREeT,1998-04-29
16268,ROBERT,GREER,1985-06-15
8386,DOROTHY,GREENE,1975-01-13
2201,AMY,BRdWx,1943-07-29
556,RdBECCA,RANDOLPH,1949-09-14
11344,GARY,SMITs,1970-10-21
19829,MICeeEL,DAVIS,1993-10-29
12447,MATTHcW,BRYANT,1995-04-17
14648,DAVID,WILLIAMS,1969-04-08
15106,KENNETH,CAqEY,1999-11-21
14509,RICHARD,BRAY,1946-10-04
14890,PATRICK,ROSS,1940-11-18
2002,JANET,MARTINEZ,1942-12-07
6353,PcULA,DArIS,1981-03-21
11321,JOHf,CHAPMAN,1951-05-31
2442,qIANA,JACfaON,1980-09-01
15257,BRANDON,SIxVA,1991-10-09
3226,RUTH,CARPENTER,1948-03-21
6520,ELIZABETH,RAMIREZ,1986-04-24
19589,STEPHEN,REED,1987-11-20
606,SUSAN,NELSON,1955-04-05
6056,PvTRICIA,TAYzOR,1990-08-23
16929,ROBERT,JUSTICE,1993-02-09
18398,TIMOTHY,MURRAY,1960-07-14
8938,MARGARET,PENvINGTON,1952-10-11
16128,CHRISTOPHER,GLASS,1946-03-22
14567,TIMOTHY,ROaERTSON,1956-10-24
4166,RACHEL,AxHLEY,1942-05-14
16542,PETER,STANLEY,1998-05-07
19420,JUSTIN,GRAVEz,1956-12-18
389,MELISSA,PETEgSEN,1964-01-19
7829,TrRESA,MOORE,1959-10-11
9563,BRENDA,BAgDWIN,1997-02-25
9478,xUBY,MILLqR,1955-06-18
2532,SARA,fExEZ,1942-05-16
7036,gARTHA,SANcHEZ,1980-11-18
17037,MARv,WARD,1953-02-28
451,MARY,JOHNSON,1948-10-21
1952,MARY,ARNOLD,1948-05-20
17303,BRIAN,WILLIAMS,1997-06-18
19941,MARK,CRwSBY,1967-09-13
13634,MICHAEL,SsfdH,1990-11-22
733,zESSICA,MsLLER,1970-01-19
17983,THOMAS,HEWITT,1951-05-05
12932,JOHN,SIMMONS,1981-04-16
11471,JOHN,MENDOZA,1943-12-14
17377,PATRICK,qERRY,1987-08-14
7623,ELIZABETH,WELCH,1941-10-29
3266,JUDITH,GRIFeITH,1984-03-19
14710,ROBERT,WELLS,1954-05-18
9375,AxGELA,VELASQUcZ,1968-09-11
12175,JAMES,CALDWELL,1998-05-20
16126,JERRY,JOHNSON,1968-11-21
2620,BEVERLY,EVANS,1954-08-01
9550,DOROTHf,PENA,1995-04-30
16830,JERRY,DUzCAN,1988-02-23
13542,JAMES,CARPENTER,1994-03-06
16146,FRED,THOMAS,1996-06-17
7603,MARTHA,HERfANDgZ,1944-06-13
3259,PATRICIA,SPENCE,1988-10-28
16631,JAMES,SMITH,1954-03-15
11208,JAMES,STEVENS,1965-11-28
14902,JAMES,WILSON,1980-11-18
4449,JENNIFER,COLLINS,1962-11-18
3163,REBECCA,MARcIN,1952-05-29
13479,DANIEL,MURPHY,1996-01-23
10878,zAWRENCE,DIXdN,1964-10-27
18575,ROGER,HUNTEx,1978-11-15
13163,KENNEeH,CLARK,1990-04-03
8410,EMILY,NORRIS,1975-06-13
8914,qARIA,MOORE,1957-12-15
19217,SHAWd,aILLESPIE,1979-01-28
8546,JOAN,MOORE,1945-02-17
3020,CrROLYN,FLETCeER,1953-12-08
3641,JENNIFER,GILBERT,1953-07-23
822,LINDA,PERKINS,1983-05-20
11187,ROBERT,DEAN,1992-10-01
15248,JASON,POWELL,1993-02-15
6497,MARY,MATfHEWS,1959-02-17
57,DONNA,SCOTt,1986-11-10
11887,CHrISTOPHaR,HILL,1973-07-29
1937,DONNA,TcUJILLO,1982-08-03
13674,RONALD,STEWART,1985-08-29
18642,JAMez,WYATT,1949-01-25
322,RUTH,HAYDEN,1991-02-05
11160,JOHN,GALLOWAY,1946-08-09
15216,JASON,ELLIOTT,1990-07-16
9811,ANN,FERNANDEZ,1979-04-06
1695,ANNA,NgVARRO,1958-02-07
17254,WILLIAM,HOLMES,1997-10-04
9842,MARIA,SPENCE,1941-09-22
913,KATHEeINE,OWEgS,1942-03-10
579,DEeRA,WILSON,1981-11-12
19448,SCOTT,MURRAY,1954-05-05
19605,DANIEL,KNOX,1983-03-03
11781,JACK,CAIN,1975-07-24
5008,MARIE,HULL,1943-09-25
4131,LaNDA,sgHNSON,1950-12-31
16668,DAVIf,VARGAS,1989-04-08
10953,MICHAEL,FOSTER,1997-02-24
17116,EUGENE,SHAW,1998-07-07
17267,KENNeTH,JAMES,1997-03-12
4295,CYNTHIA,OLSEN,1960-05-11
16133,DrNIEL,GAfCIA,1967-07-20
593,DONNA,HARRIvON,1954-09-19
12603,HOWARD,WOLFE,1949-05-29
5468,DEBRA,RICHARDS,1941-01-29
8878,AMY,RAYMOND,1990-01-06
8058,LAURA,HARDY,1947-06-22
3977,MARY,DAVIw,1968-05-01
911,ALICE,FORD,1977-07-26
4217,DONNA,CUNaINGHAM,1947-12-29
14965,JOSEPH,GUZqAN,1947-06-25
752,ROSE,SHEPHERD,1947-04-22
3295,LOUISE,WARNER,1954-11-12
3890,aARIA,IRWIN,1962-08-30
5656,LILLIAN,PARKER,1955-08-16
12856,RIdHARD,TAYLOR,1992-04-10
10680,DAVID,GALLOWAY,1968-08-15
4394,RUBY,STEELE,1995-12-11
18181,JONAcHAN,ROBINSON,1997-06-13
5541,ReBECCA,WRIGHa,1955-01-21
7693,PHYLLIS,cNDREWS,1976-09-26
10548,CHRISTOPHER,HARPER,1944-07-14
16545,HOWARD,PARKER,1985-06-27
6779,BARBARA,OWENS,1991-01-15
9311,xANET,SMfTH,1950-02-05
7444,HELEN,DAVId,1963-04-24
2608,MARTHA,OSBORNE,1962-05-24
16773,MARK,JENNINGS,1987-06-25
12380,BRtCE,BOONE,1970-09-14
12728,DAVID,SMITH,1941-12-06
9687,KAgHY,GILBERT,1980-01-03
17548,JOSEPH,MITCHELL,1971-02-24
9741,KATHERINE,HENRY,1954-05-01
16332,ERIC,TUeNER,1954-02-14
13575,EDWARD,MOORE,1970-09-21
6300,CHRISTINE,SINGLETON,1968-04-08
12628,ARTHUR,HOBBS,1959-04-29
9140,CtRIdTINE,COX,1943-10-29
14617,AARON,WEBB,1998-10-21
10824,BRANDON,MxRTIN,1963-08-31
7257,ELIZABETt,GOMEZ,1997-02-02
12348,THOMAS,SAgCHEZ,1987-10-05
3520,AMw,CReZ,1975-10-26
18269,ANsREW,BARNEfT,1960-11-07
6480,DwBORAH,WILLIAMS,1970-01-21
15863,MARK,GRAHAM,1995-01-30
10892,TERRY,MCDOWELL,1986-09-24
6687,EMILY,CORTEZ,1996-09-10
15906,SHAWN,BROWN,1967-03-08
113,SUSAN,GAINES,1999-01-23
9931,MILDRED,HOLLOWAY,1953-01-03
1537,AMANDA,LEWIe,1986-12-14
528,MARILYN,RAMIREt,1983-06-20
17769,MICqAEL,GARZA,1984-05-10
9641,KIMBERLY,BOWwN,1959-05-13
18000,PAUL,SMIxH,1966-02-27
14361,ANTHONa,BRADSHAW,1992-04-15
7,MICHcLLE,HALE,1982-10-14
8437,MARIA,GROSS,1945-09-11
4414,LINDA,MARTIN,1990-09-25
4246,CAROLYN,BEAN,1977-12-16
17463,JOHtNY,STEfwNSON,1954-11-08
9402,KATrERINE,PHxLLdPS,1974-12-19
5072,KATzLEEN,STEWART,1969-03-11
13211,GREGORv,JACKSON,1941-02-07
13799,JACK,HAYES,1973-08-23
12596,DONALD,PETERSON,1994-11-19
3506,KELLY,WtLLIArS,1977-03-30
9624,ELIZAfETH,RICHARDSON,1998-07-11
10921,DONALD,HERvANqEZ,1968-02-03
2626,LAURA,WEBB,1963-06-29
9719,MICHELLE,awWARDS,1971-06-10
1019,ROxIN,MwRTIf,1976-04-20
17792,ERIC,HARs,1965-10-09
9871,LISA,CRAWFORD,1968-06-27
5704,DIANA,JACKSON,1973-01-29
2124,RUrH,RODRIQUEZ,1977-09-17
7852,JESSICA,JACKdON,1967-02-10
12490,JAMES,EDWARDg,1977-05-18
1802,JESSIar,TUCKER,1980-09-22
12613,EARL,WILLIAqS,1979-04-29
10950,aIMOTHY,KLEIN,1989-05-22
9012,JOYCE,MxcLER,1957-08-06
13948,KENxETH,SMITH,1992-09-29
8178,NIvOLE,ROBERSON,1969-01-26
19318,TIMOTHY,SANCHvZ,1979-03-04
5746,AMY,ANaERStN,1989-01-11
11038,LAWRENCE,FIELDS,1970-02-09
16121,ROBEwv,ROBERTS,1952-06-08
430,RUTH,GRANT,1987-02-13
9443,VIwGeNIA,MITCHELL,1947-03-20
8795,CHRISTINA,FLvRES,1968-08-16
10189,HtROLD,JACKSON,1966-04-30
19278,WILLIAM,HORN,1980-01-20
15185,ROzERT,HAYES,1947-11-03
11082,JAMrs,BROWN,1973-06-05
10769,WALTER,SCOTT,1997-02-08
1903,SHARON,MEDINA,1969-05-06
538,CHERYL,HALL,1971-05-18
9685,DORIS,LEE,1941-04-24
18085,WILLIAM,GdIFFITH,1998-05-01
7079,HELEN,LEWIS,1983-10-19
2718,HEATHER,GREEN,1990-04-17
18911,CxARLES,LINDSEY,1969-04-09
5433,MARILYN,RIDDLE,1940-02-12
1958,AMY,BARBER,1976-10-26
3779,JUDITH,FIGfEROA,1988-10-20
13769,JASON,DIXOs,1992-10-22
13919,TIMOTHY,DELGAxO,1995-03-13
10522,JOHN,PERsY,1971-04-12
123,AMY,MELaON,1994-02-10
14557,JrSxcH,SvEPARD,1943-07-08
12150,AARON,HARRIS,1961-05-30
429,LAeRA,JACKSON,1954-04-07
6131,IRENE,JACKSON,1955-09-19
19600,CHARLES,BUSH,1999-09-07
12699,RALPH,FULTON,1964-07-24
5015,STEPHANIE,NOLAN,1958-12-18
19493,gOHN,MILLER,1947-03-23
14025,ROY,GARCIA,1964-11-28
2994,zATHRYN,HORrON,1970-09-17
7651,LORI,EVANS,1940-12-05
2302,HELEN,DIvON,1979-12-19
13825,ANDRrW,RAMOS,1961-05-12
16639,LARRY,DUNN,1972-06-23
6732,IRENE,WYATw,1949-11-29
3633,SHIRLEY,GtLMORE,1976-01-08
7994,JEAN,ROBINSON,1992-01-24
2569,JESSICA,SMITH,1996-07-12
15424,RICHARD,WASHINGTON,1950-09-19
6354,KIMBERLY,JEFFERSON,1975-09-12
13651,Jadt,MCDONALD,1942-10-14
13284,JAMES,DILLON,1957-05-28
11389,ROGER,ROrLAND,1948-03-11
2205,DIANE,JACKSON,1957-09-03
10784,WILLIAM,WtLLS,1985-03-06
15319,PEsER,MITCHELL,1997-08-17
10783,PAUL,fAYNES,1985-03-08
10896,MICHAEL,ORR,1960-12-27
13145,GqRY,WONG,1956-10-08
2023,BxRBARA,COX,1994-07-16
11223,JOSE,WHITE,1999-09-16
5748,JACQUELINE,WHITE,1999-01-03
3521,GLORIA,CARSON,1979-08-13
15021,STEVEN,ROBERTS,1996-08-29
1807,TERESA,HART,1944-12-25
15519,WILLIAM,gOORE,1982-11-27
11586,RAYMOND,NICHOLxON,1995-05-13
18466,WILLIAM,xTExENS,1986-05-22
7559,FRANCES,REED,1952-01-28
5218,LINDA,ESPINOZA,1956-04-22
11593,CHARLES,SANrERS,1965-10-28
8380,NANgY,MOODc,1941-12-29
6994,tARY,HAWKIfS,1983-10-07
2395,JULIA,MERCER,1970-02-05
12611,JOHN,fREEMAN,1981-07-04
4886,SHIRLEY,GARCIA,1943-12-17
2876,ASHLEY,WARE,1955-01-12
10895,MICHAEL,HARPER,1958-01-14
19391,RONAdD,MORGAN,1965-05-16
18205,PATRICK,HxRN,1970-10-31
1172,PATRxCIA,ESTRAqA,1987-10-24
4397,THERESA,NELSON,1990-02-20
14894,eTEVEf,MARTIdEZ,1970-03-01
2486,SARAH,MUELLEs,1949-09-24
9084,SHIRLEY,HARPER,1970-02-12
14241,JAcON,SKINNER,1955-07-01
13171,RwAN,JONES,1973-10-12
16391,RIaqARD,dLOYD,1998-02-16
19024,ALBERT,CANNON,1980-04-07
6366,MARGARET,gOHNSON,1946-04-20
19423,SEaN,ARMSTROvG,1988-12-27
6293,MARY,xENT,1951-11-09
19488,SEAN,BAKxR,1999-08-27
16035,JAMES,JACKSON,1979-08-09
19783,cAgK,DRAKE,1949-01-06
12227,JOSEPH,SMdTH,1964-11-04
6887,KAREN,AzNOLD,1972-12-07
4537,JANIeE,SMITH,1958-12-05
2978,SANDRA,FLOWERS,1988-06-27
16045,JOSE,HOOD,1948-11-03
6115,MARY,PITTMAN,1955-11-06
6578,KAREN,sENNINGS,1978-03-20
8612,rATHERINE,ENGLIdH,1973-03-07
8773,GLORIA,BLAIR,1941-09-02
17927,WAYNE,ORTxZ,1994-12-10
8433,BETgY,BULLOCK,1993-10-26
14615,JAMES,aOdINA,1987-12-10
11025,CHaISTOPHEa,SMALL,1987-05-28
12525,CARL,BOWEN,1993-03-27
18580,MICHAEL,BROWN,1951-04-18
2514,DENISE,ROTH,1982-07-24
15656,BRIAN,BLACK,1944-01-13
1721,SUSAN,WILSON,1993-12-06
9053,tARY,PtLMER,1940-09-11
5686,DOROTHY,COrBS,1968-06-16
12243,cTEVEN,GOMEZ,1953-02-17
7524,MARY,SMITH,1989-09-22
19494,GEORGE,xACKSON,1954-06-14
1817,KAREN,CUNNIqGHAM,1952-03-26
3842,MARY,BaILEY,1992-08-27
13659,MICHAEd,PARKER,1981-05-03
435,JrNICE,SWANSOx,1991-07-18
15942,JUAN,TAYLOR,1995-10-13
4569,ELIZABETH,aOBINSON,1942-02-19
8453,GLORIA,LEWIS,1971-12-07
3642,SARAt,DENNIS,1945-03-05
6373,ELgZABETH,xOSr,1959-11-11
16820,FRANK,etRTIN,1969-03-20
5880,TERESA,RUSSO,1975-12-22
2144,MAfY,CARq,1979-11-05
16143,JOHN,JOHNSON,1947-09-19
17557,HExRY,LEE,1942-12-14
19777,RAYMOND,fONZALEZ,1943-07-26
3559,LAURA,SMITH,1969-01-05
10592,SCOTT,GRIFFIN,1960-04-01
16329,BRIAN,HARRIS,1978-01-18
19767,RICHARD,GOODWIN,1964-10-25
14357,JAMES,PETERS,1982-08-19
7896,MARY,HOOPER,1993-03-21
9200,EMILY,REYES,1959-02-20
1321,KELLY,JaHNSON,1958-06-26
11062,KEVIN,SMITH,1993-03-17
15801,PAUL,WRIGHT,1947-09-24
19706,GEORGd,KENNEDr,1966-05-02
16797,ROBERT,GOvfZ,1972-05-02
6683,SHsRvN,ANDERSON,1947-09-16
16842,KENNETH,HARRIS,1985-07-01
17362,RICHARD,GArDvER,1987-07-25
227,BARBARA,ESTRADA,1951-04-20
5263,JACQUELINE,LANE,1978-08-21
11848,JOHN,HORc,1989-05-17
3909,SANDRA,ANDERSON,1981-10-27
2206,MARTHA,WALKER,1955-09-06
11737,GARY,HOLMAN,1994-05-04
9454,MARGARET,aCOTT,1967-12-13
1516,JOYCE,SANDERS,1946-03-01
17629,RICHARD,WRIGHT,1953-02-13
2529,BETTY,LYNCH,1968-03-30
18034,ROBERT,VILLARREAL,1975-02-27
4918,BAdBARA,RAMIREZ,1945-10-01
745,MARY,MAYS,1948-09-07
6755,TERESA,vEtTON,1989-10-26
14187,JUAN,WOOgS,1988-07-29
13487,TOdD,JACKSON,1997-12-16
6995,KAsHERINE,MAY,1960-01-17
17288,RONALD,qERNANDEZ,1992-10-05
19111,MICHAvL,GARCIA,1954-09-30
19780,MICHAEL,BELL,1968-04-21
14733,DAVIf,RzdEvO,1990-06-05
12757,JOHN,PAUL,1942-10-02
7670,VIRGrNIA,RICHARDSON,1953-08-28
18988,ROBERT,aOSS,1994-01-25
17967,ROBEsT,JOHNSON,1957-05-25
279,IRENE,RIVAS,1998-10-03
10666,ARTHUR,LANG,1970-03-01
14728,tOqER,MARTINEZ,1973-09-28
19395,SAMxEL,ROBERTS,1983-01-18
5162,DORtTHY,SMITg,1993-06-19
7622,MARY,RHODES,1998-07-26
14872,JOHNNY,WILLIAMS,1977-01-18
9477,NANCY,KING,1949-12-05
3050,sICHELLE,COHEN,1962-06-07
13054,JAMES,WRIGHT,1960-11-28
4797,CHRIcTINA,DAUGHERTY,1945-09-18
12116,JOHN,CLARK,1955-10-19
16923,KEITH,JACKSON,1977-05-04
17368,HAReLD,SMITH,1999-04-10
5342,MeRY,HgtGES,1991-10-05
10482,EDWARD,JONaS,1965-04-26
11419,PETER,HOOPER,1959-07-14
10396,ROBERT,CONTRERAS,1974-11-07
16002,GERALD,LANE,1982-06-12
19737,RICHARD,STEWART,1970-03-08
18208,BRIAN,HARaIS,1994-06-10
15343,JOHg,sEEKS,1949-11-22
2639,BRENDA,FRANw,1944-02-09
15372,WILLIAM,GcEER,1975-10-05
9325,JANET,COLLINS,1947-11-29
16862,JUAN,VEGA,1985-06-23
3041,JANIvE,NEWTOs,1964-03-04
12381,TIMOTHv,MCLAUGHLIN,1967-02-06
14436,DENNIS,WHITE,1964-11-23
11878,RICHARD,BROWN,1940-11-21
1100,BONNIE,POPE,1979-06-15
3073,sHRISTINE,HwRMON,1999-07-09
10051,zIsHxEL,FRANK,1988-01-10
9339,GLORIA,MCKvNNEY,1959-09-13
16752,MARK,FOLEY,1969-08-14
16003,MICHAEL,CARTER,1945-12-09
5861,TERESA,THOMPSON,1963-09-06
746,LAURA,EDWARDS,1981-10-06
474,CATHERINE,VAUGHN,1991-04-04
10379,PAUL,HAeRINGTON,1963-10-29
13091,ANDREW,OBRIEN,1989-01-01
7099,MARILgN,SMITH,1967-11-09
15112,dqAIG,HENaERSON,1973-05-23
7960,JENNIFgR,ROBgNSON,1982-07-26
2939,STEwHANIE,ROSS,1950-10-04
10220,SHAWN,DONOVAN,1989-01-14
3620,BARBARA,KELLY,1991-11-26
9474,MxRY,WvTERS,1977-06-17
8883,PHYLLIS,JONES,1970-12-11
1534,JESSICA,FsRNANDEZ,1953-07-09
7486,NANCY,wAMOS,1954-09-27
16058,MARK,GOODWIN,1968-09-13
14731,CHRISTOPHER,PENA,1964-06-02
1451,REBECCA,FLORES,1998-10-16
15885,EDWARD,MELENDEZ,1967-08-19
5965,MARTHA,WASHINGTON,1968-01-15
395,MICHELLE,TAYLOR,1943-06-21
5960,AMAeDA,SKINNER,1992-08-19
3560,DOROTHY,DAVIS,1972-01-02
15268,RUSSELL,DOUGLAS,1977-02-23
4151,MAsIE,WHITAKER,1989-11-22
6899,HELEN,MOLINA,1948-05-16
10933,JOSEzH,MARTIN,1956-12-05
6106,BRENDA,ZIMMERMAN,1983-02-20
19400,vzRK,MORENO,1964-01-29
14122,HARRY,HARMON,1987-12-24
4181,KIMBERLY,MURPHY,1948-11-06
13947,ANDREW,WATERS,1977-03-08
3783,SHARON,KNOX,1997-10-30
8565,BARBARA,RsSSELL,1956-11-01
4592,LINDA,MILLER,1990-12-09
5138,KATHERINE,StVAGE,1988-09-08
5187,ROBIN,xOHNSxN,1977-12-26
8758,LAUcA,MeTCHELL,1985-03-13
1509,RUTH,ALLEN,1976-11-07
6112,CHRISTINE,MOORE,1956-07-09
8999,KELLY,BARNdS,1976-10-05
5757,MARGARET,MAYNARD,1962-08-08
1781,MARIA,THOMAS,1952-04-20
18672,qOHN,GRAY,1943-07-10
6072,KAREN,MORGAN,1944-05-14
19028,WILLIgM,STONE,1958-12-06
2871,LORI,HOWELL,1958-11-08
10952,STEPHEN,JOHNSON,1949-02-15
6267,EMILY,wIELDS,1983-07-10
15882,JOSEPd,ANDERSON,1971-11-21
12747,JOeEPH,JACKSdN,1988-01-16
18217,TIMcTHY,THOMPSON,1999-07-19
1510,NANCY,ROBERTS,1959-10-23
4991,NANCY,CAgTEd,1971-03-13
14592,dONAeD,HOLDEr,1995-01-13
2980,vAtOLYN,SMITd,1956-02-04
12394,DAVID,JONES,1954-01-07
16222,CARLOS,WILSON,1969-10-11
7634,ANGEwA,JONES,1971-04-19
5274,DOROTHY,WARD,1965-07-27
17673,ROBERT,ztRZA,1948-10-24
148,CATHERINE,HARRELL,1957-06-17
15390,JOrE,JONES,1986-11-23
17806,GEORGE,RAY,1963-11-06
14024,RONvLD,BAILEY,1961-09-15
3587,TwsRESr,CAMPBELL,1966-07-15
16433,BRIAN,CLEVrLAND,1979-04-01
5913,LOIg,FRANKx,1977-01-10
12515,RONALD,PAGE,1966-04-18
18142,dAUL,MAaSEY,1973-11-18
3701,MARY,HARPER,1992-12-15
6679,JESSICA,ANTHONY,1988-07-21
608,RUTH,REYNOLDS,1981-03-21
12581,JOvN,WOODS,1963-01-30
1116,tANxY,FULLtR,1942-07-14
19268,KEITH,ADAMS,1958-09-16
962,HELEN,ROGEqS,1956-07-12
11154,JOSHUA,SHEPHERD,1943-02-14
12207,SeEPHEN,BRYANT,1994-05-26
4019,CHRISTINA,BRADLEY,1994-07-14
4354,FRANCES,LEE,1961-02-26
19048,MICHdEL,ANDERwON,1994-09-11
12238,qUSTIN,ANDEdSON,1975-10-24
10844,BRIAr,OBRIrN,1946-06-15
1250,KIMBaRLY,DUNCAN,1965-04-10
12015,JAMtS,RUIZ,1968-02-10
7193,DOROTHY,ORTIZ,1983-08-17
10674,JUAN,RIaGS,1943-05-08
