firstname,surname,birthdate,zip_codes
2209,MARIA,MCLEAN,1952-01-18,11227
2210,LINDA,SKINNER,1941-03-22,11109
2211,ANNIE,ARMSTRONG,1949-12-11,11377
2212,THERESA,KRAMER,1978-09-30,11227
2213,BETTY,GARDNER,1959-03-10,11109
2214,DORIS,HART,1977-07-19,11226
2215,JEAN,DAVIS,1941-03-24,11227
2216,MARIA,LEE,1968-04-30,11109
2217,DORIS,WARD,1974-11-24,11227
2218,SARA,MILLER,1991-02-11,11227
2219,NANCY,MILLER,1983-09-04,11226
2220,TINA,DAVIS,1969-06-27,11377
2221,PHYLLIS,SMITH,1988-06-07,11226
2222,SARAH,HUMPHREY,1984-03-06,11109
2223,SHIRLEY,MENDOZA,1969-01-10,11226
2224,ANGELA,WALKER,1975-03-14,11226
2225,ELIZABETH,MCCARTY,1988-10-03,11226
2226,MARGARET,CLARK,1992-04-14,11226
2227,LINDA,CHURCH,1973-04-21,11377
2228,AMANDA,FORD,1982-07-02,11226
2229,BARBARA,CASTILLO,1966-05-25,11226
2230,LINDA,MCPHERSON,1990-05-26,11226
2231,MARIE,WYNN,1956-06-26,11226
2232,CHRISTINA,COOPER,1985-06-08,11226
2233,CATHERINE,GRANT,1961-03-04,11226
2234,ANNA,WRIGHT,1969-07-28,11226
2235,AMANDA,GLENN,1955-05-01,11226
2236,LINDA,DAVIS,1942-03-04,11227
2237,MICHELLE,FERRELL,1957-02-15,11109
2238,RUTH,ALVARADO,1942-10-01,11226
2239,DONNA,AYALA,1960-07-27,11226
2240,JOYCE,MENDOZA,1998-09-04,11226
2241,MELISSA,DAVIS,1961-02-28,11227
2242,BETTY,COLLINS,1958-08-02,11226
2243,HEATHER,WILSON,1953-06-09,11227
2244,JANICE,MARSHALL,1989-03-10,11226
2245,NICOLE,DAVIS,1969-08-06,11226
2246,CHRISTINE,WOOD,1985-10-08,11226
2247,THERESA,WOLF,1960-07-17,11109
2248,MARILYN,HALL,1977-11-02,11227
2249,DONNA,GRANT,1946-11-16,11226
2250,ANNA,LOPEZ,1960-01-31,11227
2251,SHIRLEY,FOSTER,1958-12-24,11377
2252,CATHERINE,MITCHELL,1954-10-08,11227
2253,LAURA,RASMUSSEN,1989-08-17,11109
2254,KIMBERLY,LEVINE,1949-10-25,11226
2255,KAREN,ALLEN,1976-04-14,11109
2256,LISA,HALL,1991-09-08,11227
2257,DORIS,MCKENZIE,1941-04-20,11226
2258,CYNTHIA,MOORE,1972-02-05,11109
2259,MARIE,DURHAM,1991-04-17,11109
2260,MELISSA,STONE,1942-09-05,11109
2261,MELISSA,REID,1961-12-29,11377
2262,VIRGINIA,MAYER,1940-05-14,11109
2263,MARY,HARRISON,1976-10-06,11226
2264,ANDREA,STEVENS,1941-10-18,11377
2265,PAULA,MILLER,1985-01-01,11109
2266,EVELYN,BELL,1983-07-26,11226
2267,LINDA,HENDERSON,1961-02-02,11227
2268,BETTY,JONES,1942-06-02,11226
2269,VIRGINIA,COHEN,1978-04-22,11226
2270,MARY,WOLFE,1974-02-10,11227
2271,JEAN,MILLER,1997-11-05,11227
2272,GLORIA,MONTOYA,1986-04-06,11226
2273,ALICE,BRADLEY,1981-08-21,11226
2274,JENNIFER,PAGE,1979-04-19,11226
2275,ANN,POOLE,1954-05-12,11109
2276,MARY,DAVIDSON,1980-08-30,11109
2277,SHIRLEY,MILLS,1995-09-17,11377
2278,JANET,ROBBINS,1993-12-15,11227
2279,CAROLYN,BYRD,1966-04-25,11109
2280,RUTH,WILLIAMS,1977-04-11,11226
2281,LILLIAN,HARRIS,1973-08-03,11226
2282,CAROLYN,HARRIS,1992-10-28,11226
2283,PHYLLIS,CLAYTON,1971-06-01,11226
2284,MARY,LITTLE,1998-07-20,11227
2285,DOROTHY,SHIELDS,1971-10-07,11226
2286,REBECCA,YATES,1996-04-15,11109
2287,CHERYL,HAWKINS,1976-06-29,11226
2288,DORIS,JONES,1971-07-25,11226
2289,BONNIE,BENJAMIN,1953-10-06,11109
2290,MARTHA,TAYLOR,1948-12-19,11227
2291,MARTHA,MILLER,1961-05-18,11226
2292,MARGARET,OLIVER,1974-10-13,11226
2293,JANE,WYNN,1956-09-12,11377
2294,MARY,GAMBLE,1983-06-06,11226
2295,JESSICA,RUTLEDGE,1953-06-07,11226
2296,MARILYN,RAMIREZ,1973-06-09,11377
2297,DORIS,BROWNING,1974-09-01,11109
2298,SANDRA,SIMMONS,1963-06-29,11226
2299,JUDITH,STEVENS,1954-12-26,11226
2300,IRENE,DUNN,1974-09-08,11226
2301,KAREN,ALLEN,1960-11-29,11226
2302,HELEN,DIXON,1979-12-20,11226
2303,JANICE,SCHMIDT,1952-07-13,11227
2304,MARY,GALLOWAY,1965-07-02,11109
2305,KATHY,GREGORY,1972-12-19,11227
2306,VIRGINIA,MILLER,1999-03-31,11377
2307,ANGELA,BOYD,1940-02-23,11226
2308,SHIRLEY,BLAKE,1982-08-05,11109
2309,PHYLLIS,COMPTON,1989-06-19,11226
2310,PATRICIA,JEFFERSON,1952-03-14,11226
2311,CHERYL,MCKINNEY,1981-05-15,11109
2312,TAMMY,ANDERSON,1993-09-09,11226
2313,DEBORAH,SKINNER,1943-02-07,11226
2314,CAROL,WALKER,1956-03-13,11226
2315,NANCY,DIAZ,1992-03-30,11377
2316,NANCY,HOLT,1992-07-22,11227
2317,SARA,OCONNOR,1951-10-02,11226
2318,THERESA,RICH,1986-09-19,11109
2319,MARTHA,ALLEN,1977-03-15,11227
2320,MARIA,TURNER,1971-04-15,11226
2321,MARGARET,CAMPBELL,1958-08-23,11227
2322,ANN,ARMSTRONG,1998-08-02,11109
2323,PATRICIA,WEBB,1969-10-23,11226
2324,ELIZABETH,MAY,1974-05-17,11377
2325,ELIZABETH,TAYLOR,1945-11-02,11226
2326,BARBARA,SIMMONS,1968-12-24,11226
2327,CHRISTINE,HOWARD,1952-06-04,11377
2328,LISA,HOPKINS,1988-07-28,11226
2329,KATHERINE,SUMMERS,1951-05-14,11377
2330,KATHERINE,THOMPSON,1990-11-02,11227
2331,HELEN,WEBB,1963-09-22,11226
2332,REBECCA,ROWE,1968-02-14,11226
2333,CAROL,WILSON,1987-11-21,11377
2334,LISA,MARTINEZ,1965-12-27,11226
2335,TERESA,BAXTER,1967-05-08,11109
2336,PATRICIA,MITCHELL,1949-12-12,11109
2337,JEAN,DAVIS,1994-10-28,11377
2338,BRENDA,STONE,1959-02-17,11227
2339,DIANE,GARZA,1951-08-06,11377
2340,LORI,DONOVAN,1992-03-01,11226
2341,DORIS,JOSEPH,1963-03-14,11226
2342,ELIZABETH,BRENNAN,1972-11-25,11109
2343,MARY,FISHER,1970-12-09,11226
2344,KAREN,RODRIGUEZ,1955-06-24,11109
2345,LOIS,ADAMS,1955-06-02,11226
2346,MARGARET,ROSS,1993-11-17,11109
2347,JULIE,TOWNSEND,1964-05-10,11226
2348,PATRICIA,BOYLE,1994-01-02,11227
2349,CAROLYN,ROSARIO,1982-12-16,11226
2350,BARBARA,SHEPHERD,1991-05-20,11227
2351,BRENDA,VALENCIA,1973-08-07,11377
2352,DONNA,JACKSON,1997-11-25,11377
2353,CHRISTINE,TORRES,1947-11-29,11226
2354,DORIS,GREEN,1941-09-06,11226
2355,LOUISE,PETERSON,1996-09-29,11226
2356,ANNIE,MERCADO,1947-06-28,11226
2357,RACHEL,BARNES,1993-08-25,11226
2358,FRANCES,GARZA,1997-10-18,11109
2359,NICOLE,WILLIAMS,1961-02-27,11109
2360,MARGARET,GORDON,1992-04-17,11227
2361,ALICE,COHEN,1951-01-06,11226
2362,AMANDA,COLE,1962-09-22,11226
2363,DOROTHY,SMITH,1969-12-12,11226
2364,MICHELLE,BENSON,1993-06-07,11226
2365,ELIZABETH,HARRISON,1986-07-07,11226
2366,DOROTHY,WEST,1956-01-09,11226
2367,DIANE,CHANEY,1999-05-13,11226
2368,KIMBERLY,BALL,1989-08-07,11227
2369,CATHERINE,HEATH,1961-09-26,11226
2370,MARGARET,MARTIN,1953-08-12,11227
2371,JESSICA,STANLEY,1982-04-06,11377
2372,ELIZABETH,HORNE,1970-02-16,11226
2373,CAROLYN,RICHARDSON,1980-04-17,11226
2374,LAURA,HOUSTON,1959-12-19,11226
2375,BARBARA,COOK,1961-04-05,11377
2376,THERESA,MYERS,1995-07-04,11226
2377,SANDRA,WALTON,1971-12-02,11227
2378,LAURA,SANFORD,1975-01-01,11377
2379,MARIE,MERRITT,1995-08-23,11226
2380,ASHLEY,GARCIA,1941-10-26,11226
2381,AMY,ALVAREZ,1968-11-30,11109
2382,NANCY,PATEL,1999-06-25,11226
2383,SANDRA,PUGH,1949-03-23,11377
2384,ANNA,VANCE,1950-06-27,11226
2385,FRANCES,MATHIS,1985-05-05,11226
2386,MARGARET,FRANK,1982-03-21,11377
2387,DONNA,RUSSELL,1985-12-10,11226
2388,NANCY,SILVA,1967-04-03,11226
2389,MARY,LAWRENCE,1981-03-17,11226
2390,MARGARET,JOHNSON,1989-10-27,11226
2391,ANNA,WILLIAMS,1945-01-27,11227
2392,ELIZABETH,SMITH,1944-07-08,11109
2393,ANNIE,BRIDGES,1992-11-11,11226
2394,ROBIN,SMITH,1999-03-02,11227
2395,JULIA,MERCER,1970-02-05,11227
2396,DONNA,LANDRY,1987-10-14,11227
2397,JULIE,VASQUEZ,1951-11-22,11377
2398,BONNIE,SMITH,1951-03-25,11227
2399,PHYLLIS,GOFF,1950-08-30,11226
2400,MARY,BOYER,1973-03-26,11226
2401,KAREN,TOWNSEND,1959-06-14,11226
2402,SUSAN,SHEPPARD,1983-09-26,11227
2403,KAREN,MOORE,1978-03-09,11226
2404,JULIE,MARTIN,1987-10-03,11226
2405,JANET,JOHNSON,1957-09-11,11226
2406,DEBORAH,LEBLANC,1978-06-11,11226
2407,RUTH,WATKINS,1967-03-15,11226
2408,JENNIFER,GONZALEZ,1980-04-14,11377
2409,SUSAN,EVANS,1994-12-28,11377
2410,KAREN,WADE,1941-03-24,11377
2411,DEBRA,DAVIS,1962-08-11,11226
2412,LINDA,ALVAREZ,1997-09-01,11226
2413,RUBY,JONES,1982-01-29,11226
2414,CHRISTINE,JOHNSON,1941-06-02,11227
2415,LINDA,LEWIS,1945-01-05,11226
2416,TERESA,FERGUSON,1987-12-28,11109
2417,JENNIFER,HAMILTON,1949-11-03,11109
2418,FRANCES,SIMMONS,1991-05-15,11226
2419,JOYCE,PAYNE,1941-10-17,11109
2420,TAMMY,ROGERS,1983-10-24,11109
2421,LOIS,SCOTT,1998-07-01,11226
2422,AMANDA,WILLIAMS,1946-02-03,11109
2423,CATHERINE,HUDSON,1999-01-24,11226
2424,MARY,CHAPMAN,1950-05-27,11226
2425,CATHERINE,PALMER,1944-10-10,11226
2426,MARIA,SCOTT,1985-07-02,11377
2427,MILDRED,RAYMOND,1979-12-18,11226
2428,BARBARA,RHODES,1973-12-01,11226
2429,LOIS,HARRIS,1959-08-30,11226
2430,MELISSA,TUCKER,1962-03-18,11226
2431,AMANDA,MORIN,1974-09-19,11377
2432,KAREN,BARBER,1952-12-02,11377
2433,MARILYN,LOPEZ,1995-06-22,11226
2434,ANNA,HAYDEN,1967-09-21,11226
2435,WANDA,TUCKER,1983-10-19,11226
2436,HELEN,MILLER,1955-12-13,11377
2437,ANNA,PAGE,1981-04-11,11227
2438,MARY,SCOTT,1990-07-11,11109
2439,LISA,COOK,1948-05-02,11226
2440,GLORIA,MILLER,1970-11-30,11226
2441,KATHLEEN,WALKER,1964-02-20,11226
2442,DIANA,JACKSON,1980-09-02,11377
2443,DOROTHY,ROBERTS,1976-02-18,11109
2444,LISA,NASH,1991-09-24,11226
2445,JUDY,VASQUEZ,1981-07-21,11377
2446,DEBORAH,MILLER,1955-02-01,11377
2447,ANNE,DALE,1961-09-20,11226
2448,SUSAN,JOHNSON,1943-04-09,11377
2449,SUSAN,ELLISON,1988-05-04,11109
2450,CHRISTINA,JOHNSON,1983-08-30,11109
2451,MARIE,THOMAS,1952-04-07,11226
2452,ANDREA,SCHWARTZ,1983-08-07,11109
2453,LINDA,BLACKWELL,1947-09-30,11226
2454,DEBRA,COX,1992-12-06,11226
2455,MARIA,OWENS,1948-08-01,11226
2456,SARA,COLON,1979-12-24,11226
2457,LISA,RUSSELL,1946-06-22,11226
2458,ELIZABETH,YOUNG,1972-04-25,11226
2459,TAMMY,HESS,1990-09-17,11377
2460,SHIRLEY,MITCHELL,1958-12-24,11226
2461,SANDRA,LANE,1990-07-18,11227
2462,LORI,GILBERT,1943-07-06,11226
2463,AMANDA,CLEMENTS,1987-11-22,11227
2464,FRANCES,HALL,1999-09-22,11226
2465,NANCY,MORRISON,1981-11-24,11226
2466,ANGELA,RYAN,1990-03-06,11226
2467,ANNA,GREEN,1959-01-01,11226
2468,MICHELLE,MARTINEZ,1983-03-25,11226
2469,CHERYL,CLARK,1941-08-11,11377
2470,DENISE,WILKERSON,1943-06-30,11226
2471,AMANDA,WILLIAMS,1965-01-12,11226
2472,BETTY,BROWN,1949-05-08,11226
2473,ROSE,CURRY,1941-11-24,11226
2474,KELLY,JOHNSON,1963-09-29,11109
2475,DONNA,THOMPSON,1964-03-08,11227
2476,CATHERINE,MARSHALL,1998-08-27,11377
2477,HELEN,BALLARD,1975-08-26,11226
2478,ANDREA,POOLE,1999-08-18,11109
2479,MARY,WRIGHT,1981-01-04,11109
2480,ANNIE,BRADY,1983-04-01,11109
2481,NANCY,DOYLE,1971-08-28,11109
2482,AMY,SMITH,1944-10-17,11226
2483,MILDRED,THOMPSON,1977-09-17,11226
2484,PAMELA,RAY,1944-08-08,11109
2485,REBECCA,DANIELS,1955-09-02,11226
2486,SARAH,MUELLER,1949-09-25,11226
2487,RACHEL,SILVA,1984-06-03,11226
2488,MARTHA,RHODES,1981-07-26,11227
2489,SARA,JOHNSON,1962-04-27,11226
2490,KAREN,JENNINGS,1976-06-23,11226
2491,CAROL,MOSES,1968-03-14,11226
2492,CHERYL,BROWN,1944-12-01,11377
2493,HEATHER,REYES,1946-02-06,11109
2494,PATRICIA,TUCKER,1988-07-28,11227
2495,NANCY,SULLIVAN,1988-10-28,11227
2496,RUTH,DURAN,1989-11-14,11226
2497,CAROL,WILLIAMS,1978-09-10,11109
2498,BARBARA,GARDNER,1991-03-18,11226
2499,PAMELA,KEMP,1983-07-15,11377
2500,CATHERINE,GONZALES,1976-10-21,11226
2501,ANNA,GORDON,1985-02-01,11226
2502,HEATHER,THOMPSON,1958-12-25,11226
2503,JEAN,COOK,1983-07-14,11109
2504,RUTH,LARSON,1975-09-11,11226
2505,CAROLYN,HERNANDEZ,1979-10-23,11226
2506,FRANCES,POWELL,1989-04-02,11377
2507,KATHLEEN,DAVIDSON,1962-12-14,11377
2508,SARAH,COBB,1941-06-01,11227
2509,ROBIN,BYRD,1963-12-22,11226
2510,JOYCE,MCGEE,1955-05-29,11226
2511,JENNIFER,BLEVINS,1942-08-23,11226
2512,KATHY,OBRIEN,1966-12-06,11226
2513,DOROTHY,JORDAN,1983-03-01,11226
2514,DENISE,ROTH,1982-07-25,11109
2515,JEAN,THORNTON,1981-11-29,11226
2516,MARY,WELLS,1950-09-20,11226
2517,NICOLE,SMITH,1946-11-07,11109
2518,REBECCA,HARRISON,1989-03-07,11226
2519,ALICE,STEPHENS,1947-07-24,11226
2520,JOAN,SPENCER,1994-10-22,11226
2521,ANNE,WYNN,1997-12-05,11226
2522,HELEN,ROBERTS,1992-04-30,11226
2523,ANDREA,LEWIS,1996-12-26,11227
2524,AMANDA,CAMPBELL,1953-06-01,11226
2525,RUBY,BROWN,1964-03-23,11226
2526,JENNIFER,SCOTT,1984-02-02,11377
2527,RUBY,HART,1986-11-13,11377
2528,STEPHANIE,THORNTON,1941-01-03,11109
2529,BETTY,LYNCH,1968-03-31,11226
2530,LISA,ROBERSON,1962-04-24,11226
2531,LAURA,ODONNELL,1992-02-24,11226
2532,SARA,PEREZ,1942-05-17,11109
2533,KATHY,PEREZ,1982-08-19,11226
2534,SHARON,MURRAY,1975-12-26,11226
2535,BETTY,FLYNN,1942-04-06,11377
2536,AMY,DELGADO,1962-03-04,11377
2537,DORIS,MORENO,1941-10-11,11377
2538,JOYCE,CLINE,1990-05-18,11109
2539,JULIE,ROGERS,1975-03-21,11227
2540,CAROL,DAVIS,1985-09-10,11226
2541,MARY,OLIVER,1944-09-20,11226
2542,SUSAN,ADAMS,1970-05-23,11226
2543,LINDA,SIMPSON,1956-01-19,11109
2544,ANN,BURGESS,1966-06-12,11226
2545,SUSAN,WILSON,1967-03-12,11227
2546,EVELYN,LYNCH,1949-07-24,11226
2547,PATRICIA,ALLEN,1974-07-04,11227
2548,BARBARA,WARD,1951-11-21,11109
2549,SARA,WILLIAMS,1976-07-23,11227
2550,JESSICA,MACK,1947-06-17,11109
2551,RACHEL,LEE,1990-01-22,11226
2552,SUSAN,MILLER,1941-09-01,11227
2553,JANE,ORTIZ,1995-10-30,11226
2554,AMY,BLAKE,1989-03-16,11226
2555,MARY,FLEMING,1984-12-08,11226
2556,BARBARA,JONES,1982-01-22,11227
2557,IRENE,DIXON,1968-01-18,11226
2558,BARBARA,PHILLIPS,1988-03-21,11377
2559,RUTH,BARTON,1989-04-05,11227
2560,JOYCE,COLLINS,1989-12-24,11227
2561,SHIRLEY,HERRERA,1985-08-19,11226
2562,ANN,TAYLOR,1972-06-02,11226
2563,JENNIFER,MILLER,1941-10-21,11226
2564,BEVERLY,POWELL,1949-01-22,11226
2565,ANN,LAWSON,1992-10-20,11227
2566,WANDA,ROCHA,1956-09-02,11226
2567,JESSICA,FISCHER,1974-11-30,11109
2568,JANE,SCHNEIDER,1983-02-01,11226
2569,JESSICA,SMITH,1996-07-13,11226
2570,LISA,THOMPSON,1943-03-13,11227
2571,CAROLYN,PATTON,1984-01-22,11227
2572,ASHLEY,MCKENZIE,1971-01-21,11377
2573,MARIA,VANG,1966-04-11,11109
2574,RUTH,SHARPE,1981-08-05,11226
2575,SHIRLEY,CHAVEZ,1958-10-25,11226
2576,JANICE,EDWARDS,1953-06-11,11226
2577,CHRISTINA,HERNANDEZ,1959-02-20,11227
2578,MARTHA,GLENN,1979-06-01,11227
2579,JUDY,GARCIA,1941-01-19,11109
2580,LOUISE,PRICE,1951-02-03,11109
2581,MARGARET,GALLAGHER,1962-08-18,11226
2582,SUSAN,REESE,1961-06-30,11226
2583,ANNIE,ELLIS,1947-10-09,11226
2584,KIMBERLY,WILCOX,1992-10-14,11226
2585,KAREN,GONZALEZ,1947-08-13,11226
2586,LINDA,JENKINS,1994-06-05,11109
2587,HEATHER,OWENS,1990-08-12,11109
2588,KIMBERLY,JOHNSON,1990-10-18,11226
2589,BEVERLY,GARCIA,1940-10-06,11226
2590,JENNIFER,FRANCIS,1955-06-08,11226
2591,RUTH,SANDERS,1940-10-12,11109
2592,BRENDA,EDWARDS,1964-01-13,11226
2593,MARIA,ROSS,1972-06-24,11227
2594,DORIS,ROSS,1952-07-20,11226
2595,BRENDA,COLEMAN,1942-09-27,11227
2596,CATHERINE,PIERCE,1989-06-27,11226
2597,CAROLYN,EVANS,1943-02-23,11109
2598,DONNA,CLARK,1999-08-06,11227
2599,MARGARET,MOORE,1987-11-13,11226
2600,KATHRYN,NAVARRO,1975-05-23,11377
2601,SARAH,FOWLER,1957-08-10,11227
2602,STEPHANIE,CAMPBELL,1965-05-07,11227
2603,JEAN,POWELL,1983-10-12,11109
2604,DEBORAH,VELEZ,1950-12-20,11226
2605,KIMBERLY,BOND,1945-05-26,11226
2606,KATHY,GAY,1976-02-19,11226
2607,JANE,MCKENZIE,1946-07-17,11226
2608,MARTHA,OSBORNE,1962-05-25,11227
2609,JACQUELINE,RYAN,1967-02-22,11226
2610,JOAN,FREEMAN,1941-08-01,11377
2611,AMANDA,LANE,1990-12-22,11226
2612,THERESA,HORN,1964-03-08,11227
2613,MARY,JARVIS,1994-07-31,11227
2614,SUSAN,MOORE,1987-04-30,11109
2615,DIANE,BASS,1951-01-01,11377
2616,ELIZABETH,SCOTT,1977-07-04,11227
2617,BETTY,NAVARRO,1972-03-01,11109
2618,JENNIFER,WILLIAMS,1967-12-17,11227
2619,TERESA,HILL,1952-11-30,11226
2620,BEVERLY,EVANS,1954-08-02,11109
2621,SHARON,DUFFY,1989-12-18,11377
2622,MELISSA,MAY,1956-04-15,11377
2623,KAREN,DONALDSON,1946-04-09,11226
2624,BETTY,PRICE,1957-06-06,11109
2625,CAROL,KNIGHT,1996-07-15,11226
2626,LAURA,WEBB,1963-06-30,11109
2627,PATRICIA,MCLEOD,1946-04-27,11226
2628,MARGARET,FLOWERS,1983-11-25,11227
2629,ELIZABETH,WATSON,1992-09-22,11226
2630,PATRICIA,MORRIS,1982-12-18,11226
2631,RACHEL,NELSON,1974-06-02,11109
2632,LINDA,LYONS,1972-02-27,11377
2633,LOUISE,ROBERTS,1993-05-13,11226
2634,HELEN,WILLIAMS,1979-06-09,11226
2635,JULIE,BANKS,1978-09-07,11226
2636,MARY,CLARK,1952-08-29,11226
2637,REBECCA,MORALES,1952-05-28,11226
2638,MARIE,CARROLL,1959-02-02,11227
2639,BRENDA,FRANK,1944-02-10,11226
2640,LINDA,BOOKER,1985-11-27,11226
2641,NANCY,LARSEN,1996-06-05,11377
2642,KAREN,LEE,1940-09-16,11109
2643,AMANDA,GEORGE,1951-06-02,11226
2644,MARY,STEPHENS,1975-05-10,11109
2645,KAREN,NIELSEN,1988-07-23,11226
2646,DOROTHY,WILSON,1992-03-23,11377
2647,BARBARA,MORGAN,1998-10-08,11227
2648,DEBORAH,GARNER,1972-09-29,11109
2649,MARGARET,DIXON,1966-09-13,11227
2650,NORMA,SHARPE,1960-05-03,11226
2651,DEBRA,WILSON,1959-08-12,11226
2652,DORIS,PARKER,1946-05-26,11226
2653,FRANCES,JOHNSON,1967-09-20,11109
2654,ANN,WYNN,1967-08-21,11227
2655,THERESA,PITTMAN,1962-12-22,11226
2656,JOYCE,JENKINS,1956-07-31,11377
2657,DONNA,GILLESPIE,1982-08-31,11226
2658,TAMMY,BROWN,1941-03-15,11227
2659,PATRICIA,ALLEN,1953-08-09,11226
2660,JEAN,BROWN,1997-10-11,11226
2661,KELLY,ROBINSON,1996-04-01,11226
2662,RUTH,WRIGHT,1967-08-17,11226
2663,BEVERLY,KING,1951-07-31,11226
2664,SARAH,GIBBS,1998-05-20,11227
2665,CAROLYN,WILLIAMS,1977-08-20,11226
2666,MARIE,LLOYD,1949-07-16,11227
2667,NICOLE,BLACK,1999-04-25,11227
2668,DOROTHY,WARD,1946-12-30,11377
2669,MARY,JOHNSON,1971-01-20,11226
2670,JOAN,SNOW,1997-03-28,11226
2671,PATRICIA,FOX,1969-05-17,11226
2672,SARAH,CAREY,1990-12-07,11227
2673,HEATHER,CARLSON,1951-09-05,11109
2674,FRANCES,BUTLER,1973-07-01,11109
2675,GLORIA,OLSON,1976-12-03,11226
2676,LINDA,ALLEN,1944-03-23,11226
2677,LORI,MITCHELL,1989-10-20,11226
2678,ELIZABETH,EATON,1996-08-25,11109
2679,MELISSA,SMITH,1972-12-24,11109
2680,ALICE,ADKINS,1940-12-25,11226
2681,AMANDA,FOSTER,1947-02-09,11226
2682,LISA,CLAYTON,1962-01-02,11226
2683,LISA,SMALL,1981-07-29,11226
2684,AMANDA,TAYLOR,1962-12-11,11109
2685,ALICE,RICE,1974-12-31,11226
2686,ELIZABETH,STEWART,1982-10-11,11227
2687,JUDITH,SANTIAGO,1994-06-14,11227
2688,NANCY,SIMON,1999-08-04,11226
2689,ALICE,PHELPS,1994-08-06,11109
2690,PATRICIA,MURRAY,1958-08-19,11226
2691,CYNTHIA,WILLIAMS,1964-09-11,11109
2692,DENISE,WATSON,1975-01-12,11226
2693,BRENDA,HOLT,1980-03-16,11227
2694,KIMBERLY,RILEY,1967-06-28,11226
2695,ASHLEY,BLANKENSHIP,1943-11-30,11226
2696,KATHRYN,LONG,1942-01-27,11226
2697,ROBIN,PARK,1948-07-24,11226
2698,ANNE,BOOKER,1970-07-15,11377
2699,REBECCA,LOPEZ,1982-09-13,11227
2700,CHRISTINE,LEE,1997-03-13,11226
2701,SHIRLEY,WILLIAMS,1952-09-19,11377
2702,DEBORAH,MOORE,1996-06-14,11227
2703,MARIE,GRIMES,1973-03-22,11226
2704,DEBORAH,MOORE,1985-01-01,11226
2705,JUDITH,MURPHY,1987-04-19,11377
2706,KATHERINE,SMITH,1971-09-17,11226
2707,DONNA,BENSON,1985-09-10,11226
2708,FRANCES,HARRIS,1978-06-01,11227
2709,BEVERLY,MORRIS,1964-09-29,11227
2710,MARY,SMITH,1990-12-18,11226
2711,MARILYN,WILLIAMS,1999-04-16,11227
2712,ANN,GLENN,1964-09-09,11109
2713,RUTH,COTTON,1978-09-08,11226
2714,MARY,GROSS,1948-06-29,11377
2715,SHIRLEY,PEREZ,1989-02-12,11226
2716,ANGELA,FARMER,1975-01-08,11226
2717,ANNIE,GARZA,1979-11-10,11377
2718,HEATHER,GREEN,1990-04-18,11109
2719,LINDA,DUNN,1956-07-31,11226
2720,AMANDA,SLOAN,1993-01-03,11226
2721,CHRISTINE,EDWARDS,1948-08-10,11226
2722,AMANDA,LEE,1974-08-31,11226
2723,CAROLYN,MCDONALD,1998-02-20,11226
2724,BETTY,HOLT,1986-12-09,11377
2725,CYNTHIA,ELLIS,1986-08-09,11377
2726,ANGELA,DAVIS,1987-02-10,11226
2727,ANNIE,ROSE,1964-10-09,11109
2728,KIMBERLY,MARTINEZ,1951-12-02,11109
2729,HELEN,WHITE,1975-04-09,11226
2730,BEVERLY,KLINE,1996-09-06,11109
2731,PATRICIA,HENRY,1962-05-27,11227
2732,ANNE,HINES,1982-12-18,11227
2733,CAROL,GRAHAM,1964-12-11,11109
2734,SUSAN,BUCKLEY,1940-06-30,11109
2735,JULIE,RAMSEY,1958-08-12,11226
2736,KATHLEEN,HICKS,1960-10-08,11226
2737,CYNTHIA,SUTTON,1946-02-16,11226
2738,MARY,ADAMS,1959-02-10,11226
2739,KATHRYN,TURNER,1985-12-12,11109
2740,KAREN,HAMILTON,1999-03-20,11227
2741,JENNIFER,DOMINGUEZ,1947-01-13,11226
2742,JUDY,ESPINOZA,1994-08-27,11226
2743,NANCY,BROWN,1949-12-28,11109
2744,JANE,JOHNSON,1961-02-12,11109
2745,RACHEL,BROWN,1971-08-03,11226
2746,MELISSA,CABRERA,1961-03-31,11377
2747,BRENDA,GOODWIN,1964-12-28,11226
2748,KAREN,ALLEN,1981-07-19,11377
2749,TERESA,MURRAY,1989-10-30,11227
2750,LORI,ROMAN,1954-08-16,11226
2751,ELIZABETH,GOODWIN,1954-04-03,11109
2752,PAMELA,CAMPBELL,1976-08-02,11226
2753,BRENDA,KING,1995-08-29,11227
2754,REBECCA,ANDERSON,1990-01-16,11226
2755,REBECCA,MORRISON,1966-11-09,11227
2756,ANNA,SWANSON,1960-06-24,11227
2757,SARAH,CRAWFORD,1987-09-03,11109
2758,MARY,GRAHAM,1948-11-11,11109
2759,DOROTHY,CONRAD,1971-08-02,11227
2760,AMY,BURTON,1958-10-11,11227
2761,SHIRLEY,HOWARD,1963-08-05,11226
2762,LINDA,LLOYD,1974-10-16,11226
2763,AMANDA,GREGORY,1949-01-16,11226
2764,SHIRLEY,BROWN,1995-03-30,11226
2765,BETTY,WOODS,1996-03-16,11377
2766,AMY,THOMAS,1955-02-19,11226
2767,MARIE,COOLEY,1968-11-05,11109
2768,BARBARA,WILLIAMS,1945-03-27,11377
2769,PAULA,BUTLER,1974-05-31,11226
2770,MARTHA,BOWMAN,1968-09-13,11226
2771,JOYCE,WILLIS,1985-07-21,11227
2772,BARBARA,MENDOZA,1986-02-22,11227
2773,LINDA,SMITH,1949-12-16,11226
2774,NICOLE,MCFADDEN,1951-01-26,11226
