firstname,surname,birthdate,zip_codes
PHYLLIS,WATKINS,3/23/89,11227
JUDY,HARDIN,2/17/90,11227
KATHERINE,HAYNES,4/12/76,11226
KATHLEEN,SANDERS,6/26/71,11377
LAURA,NICHOLSON,6/24/61,11226
JUDITH,COOK,12/13/55,11226
HEATHER,AUSTIN,4/9/93,11226
STEPHANIE,HUNT,12/28/87,11109
DEBORAH,GRIFFITH,12/18/43,11226
DEBRA,CANTU,6/25/57,11226
BONNIE,SHAW,10/14/91,11109
SARA,FOSTER,12/2/75,11226
LISA,LEWIS,1/7/65,11226
THERESA,GARDNER,6/29/64,11109
HELEN,LOWERY,12/12/95,11109
CYNTHIA,MOLINA,1/13/81,11226
EMILY,YOUNG,8/1/46,11109
LINDA,CLAY,11/10/71,11226
LAURA,HUDSON,7/4/76,11226
LAURA,BARKER,10/26/44,11226
LINDA,NUNEZ,10/5/89,11227
KELLY,MORGAN,4/22/77,11226
NANCY,COLLINS,3/19/92,11377
BETTY,THOMAS,7/31/67,11377
NANCY,FERNANDEZ,5/16/89,11109
DOROTHY,STOUT,3/3/96,11377
LINDA,SMITH,6/15/56,11226
SUSAN,ROBERTSON,11/27/53,11377
MARIA,JONES,7/17/85,11226
DEBRA,HOWARD,11/7/62,11226
LISA,ANDERSON,9/29/94,11226
PATRICIA,MERCER,5/8/93,11226
HEATHER,PRATT,7/20/96,11226
IRENE,BUTLER,6/22/99,11227
ALICE,GRIMES,7/20/49,11377
JENNIFER,WILSON,8/14/63,11109
MARY,SANDERS,2/28/64,11226
BARBARA,JACOBS,7/26/71,11226
MICHELLE,SANDERS,7/8/85,11226
TAMMY,CAMPOS,11/1/86,11226
VIRGINIA,SHAW,10/2/94,11377
CYNTHIA,NEWTON,3/2/63,11227
KATHLEEN,DAVIS,9/5/61,11377
NANCY,SHAW,7/7/47,11227
REBECCA,AUSTIN,12/21/46,11109
LINDA,MARTIN,10/8/44,11226
JULIE,DAY,10/25/53,11226
MICHELLE,MCCLAIN,6/12/48,11226
PATRICIA,FORD,3/22/70,11226
DIANE,TURNER,9/19/73,11226
LAURA,SANTIAGO,1/4/97,11227
SARAH,NICHOLS,2/2/97,11226
LOUISE,MARTINEZ,2/5/59,11109
KATHLEEN,SPARKS,7/9/92,11227
PATRICIA,NICHOLSON,3/28/56,11227
JENNIFER,SANDERS,2/21/43,11226
LAURA,LANE,5/15/57,11227
BETTY,WASHINGTON,3/14/73,11226
IRENE,NASH,7/10/85,11226
JANICE,JONES,3/7/60,11226
MARY,MILLER,1/25/46,11226
MARIA,MADDEN,5/24/70,11226
CAROLYN,RUSSELL,4/13/87,11109
DIANE,HILL,10/31/60,11226
SUSAN,MILES,12/11/42,11226
TAMMY,SMITH,8/9/49,11227
LINDA,HILL,1/5/45,11226
MARY,MORALES,4/30/58,11227
THERESA,BUSH,9/28/42,11227
KATHRYN,PHELPS,9/30/99,11226
AMANDA,COOK,10/3/91,11226
ELIZABETH,HAMILTON,4/2/92,11226
BETTY,HERNANDEZ,2/8/86,11226
GLORIA,JOHNSTON,6/11/91,11227
ANGELA,RIVERA,4/11/56,11226
SHARON,JACKSON,12/4/43,11226
ELIZABETH,WOOD,9/5/42,11227
MARY,WALTON,5/6/60,11227
NANCY,ROBERSON,10/24/97,11226
CYNTHIA,DELGADO,6/15/72,11109
MICHELLE,COLLIER,5/10/57,11226
ELIZABETH,RASMUSSEN,10/15/76,11226
DONNA,SIMPSON,10/5/81,11109
PATRICIA,POWELL,12/22/72,11377
STEPHANIE,RODRIGUEZ,11/12/40,11226
LOIS,OLIVER,8/25/78,11377
EVELYN,HAYNES,5/3/54,11226
CYNTHIA,TAYLOR,12/15/69,11226
JANET,JOHNSON,2/6/81,11377
MARGARET,MARTINEZ,9/3/48,11226
HELEN,WRIGHT,8/20/68,11377
STEPHANIE,FUENTES,3/14/78,11109
RUTH,FLORES,10/25/95,11109
ALICE,MITCHELL,7/11/45,11226
SARAH,ROBLES,11/11/46,11109
EMILY,WALKER,6/3/93,11377
AMY,BROWN,10/24/55,11226
TINA,GRANT,2/10/43,11377
SANDRA,JONES,1/5/66,11226
GLORIA,BENNETT,10/11/87,11226
MICHELLE,HEBERT,9/24/98,11227
ANNA,NAVARRO,2/7/58,11227
DEBORAH,SMITH,1/18/46,11226
RUTH,MCKINNEY,10/29/71,11226
HEATHER,MORGAN,3/19/68,11226
BARBARA,RIVERA,12/29/62,11109
SARAH,GRAY,7/9/51,11226
SANDRA,MORRISON,7/24/47,11226
DORIS,PARKS,8/2/75,11226
JANICE,MCCARTHY,6/26/69,11377
SARAH,CAMPBELL,3/25/65,11226
JEAN,ANDREWS,6/17/54,11377
NICOLE,CARR,7/5/89,11226
JOYCE,SWANSON,12/30/83,11226
JOYCE,RAYMOND,5/5/81,11109
HELEN,CONNER,8/20/67,11377
JOYCE,JONES,12/12/41,11226
JOAN,MORAN,10/6/68,11226
DOROTHY,SLOAN,5/17/94,11226
ELIZABETH,LEE,7/8/62,11377
MICHELLE,WILSON,9/10/50,11227
CATHERINE,GUY,3/29/99,11226
SHARON,CARRILLO,3/23/62,11227
MARY,CONWAY,10/2/49,11226
ANNIE,CLARK,6/7/75,11226
SARAH,RODRIGUEZ,2/19/59,11227
CYNTHIA,HODGES,2/13/99,11226
SUSAN,WILSON,12/7/93,11226
LISA,JOHNSON,12/26/57,11377
ANNA,LEWIS,5/13/96,11226
PHYLLIS,POWELL,7/20/97,11226
SHARON,BANKS,12/14/94,11377
HELEN,BOYD,5/21/66,11109
MARY,LOWE,3/4/86,11227
NORMA,CHAVEZ,7/4/98,11377
HELEN,TORRES,11/26/99,11226
CYNTHIA,LOWE,1/17/88,11226
BEVERLY,SANCHEZ,12/20/54,11226
LORI,KELLEY,8/28/89,11227
JULIA,WARREN,6/19/81,11226
LAURA,WALSH,10/7/95,11109
AMANDA,WILLIAMS,8/28/58,11226
ANNA,ORR,7/28/55,11109
MARY,PEREZ,6/15/81,11226
MARGARET,HALL,11/27/98,11227
LINDA,DAWSON,5/19/89,11226
DENISE,BENNETT,8/12/52,11226
SARA,NEWMAN,7/30/60,11227
NANCY,GARZA,8/18/73,11109
CAROL,KEITH,12/15/71,11377
MARTHA,DAWSON,1/26/98,11226
MARY,HENSLEY,11/6/99,11226
SHARON,BURNETT,4/18/73,11226
MARTHA,JONES,8/2/65,11109
ASHLEY,WHITE,5/1/90,11226
TERESA,MARTINEZ,4/29/77,11109
KATHLEEN,BRYANT,5/18/40,11226
MELISSA,JENKINS,4/9/94,11226
JANET,FLOYD,6/19/74,11227
LOIS,MORENO,11/4/98,11377
PATRICIA,PRICE,5/20/40,11227
MICHELLE,GIBSON,1/13/90,11226
ALICE,FOX,12/26/58,11226
STEPHANIE,CABRERA,10/18/54,11109
DEBRA,MOORE,8/4/99,11227
DEBRA,GUZMAN,3/4/99,11227
JULIA,FOSTER,5/28/74,11226
MARY,ROBERTS,11/23/67,11226
JEAN,JOHNSON,3/1/67,11226
BARBARA,KRAMER,11/12/96,11226
PATRICIA,BARBER,6/26/65,11226
SANDRA,NORRIS,3/31/69,11226
MICHELLE,TAYLOR,1/15/74,11377
JANICE,GREEN,5/9/79,11377
CYNTHIA,BROOKS,7/5/98,11226
LOIS,BLACK,12/3/58,11226
MICHELLE,ARNOLD,1/27/61,11226
JANET,BARBER,9/14/62,11227
ANNA,RIVAS,9/3/98,11227
KIMBERLY,BROWN,1/31/48,11377
KIMBERLY,LOTT,3/27/58,11226
DEBRA,THOMAS,7/14/69,11109
HELEN,LOGAN,7/15/44,11226
JENNIFER,MELENDEZ,8/26/93,11226
DIANA,PORTER,12/27/40,11226
MARY,BOOKER,2/6/92,11227
STEPHANIE,BEACH,1/11/40,11109
MARIA,THOMAS,4/21/52,11227
ELIZABETH,WARNER,8/25/50,11226
PAMELA,LINDSEY,6/27/51,11109
LISA,THOMPSON,4/14/63,11227
ALICE,ROSA,12/2/76,11226
LOIS,ADKINS,12/1/77,11226
TERESA,ORTEGA,4/20/59,11226
SANDRA,HOLLAND,9/30/55,11227
HELEN,JACKSON,9/19/44,11226
LILLIAN,GARCIA,4/17/76,11109
CHRISTINE,SYKES,10/25/64,11109
MELISSA,GEORGE,4/25/61,11226
ROBIN,JORDAN,5/20/47,11226
DORIS,TERRY,4/9/46,11226
MARY,WOLFE,10/7/89,11226
MARIA,NAVARRO,8/31/41,11109
JENNIFER,ANDERSON,12/16/96,11226
JANE,PATTERSON,5/2/87,11377
BARBARA,ROBERSON,5/6/40,11226
GLORIA,CONTRERAS,8/7/61,11227
PAMELA,JACKSON,2/17/51,11227
JESSICA,TUCKER,9/23/80,11377
WANDA,CARTER,12/4/43,11109
LISA,MELTON,4/14/45,11226
DORIS,RAMIREZ,2/9/75,11226
JANICE,SMITH,8/17/94,11226
TERESA,HART,12/26/44,11226
MARGARET,HAMILTON,3/23/94,11226
CAROL,REYES,5/7/99,11227
BARBARA,GARRETT,4/5/65,11226
DONNA,MARTIN,1/27/40,11226
KIMBERLY,FOSTER,9/15/69,11227
MARY,STEWART,10/31/90,11109
REBECCA,HERRERA,8/28/90,11227
LORI,SMITH,9/8/78,11226
CHERYL,DODSON,10/24/43,11377
KAREN,CUNNINGHAM,3/27/52,11226
JANICE,HERNANDEZ,5/16/77,11226
REBECCA,MOORE,9/15/70,11226
CHRISTINA,YOUNG,1/2/93,11226
BRENDA,MAYER,4/23/69,11226
CYNTHIA,HOLT,5/16/53,11227
JUDY,BRENNAN,1/18/70,11226
DIANE,ONEAL,6/13/44,11377
SHIRLEY,RATLIFF,8/23/41,11226
AMY,KELLY,4/22/44,11227
KAREN,GIBSON,9/18/78,11226
MICHELLE,HUBBARD,2/24/65,11226
LORI,GRAY,1/5/72,11226
BARBARA,FREEMAN,7/31/83,11226
PATRICIA,WELLS,10/28/57,11227
JENNIFER,BURCH,10/20/77,11109
RUTH,TILLMAN,4/20/74,11226
SANDRA,SMALL,8/25/81,11226
CATHERINE,DAVIDSON,9/15/75,11226
KIMBERLY,TORRES,4/8/50,11109
MARTHA,WEBB,12/29/98,11226
CATHERINE,GARCIA,10/9/81,11226
AMY,CARSON,8/16/74,11226
TERESA,TORRES,5/7/61,11226
ANGELA,ALLEN,1/5/67,11377
MARY,POPE,8/8/48,11109
HELEN,MOORE,9/20/84,11109
FRANCES,DOUGLAS,12/9/86,11227
MARTHA,HALL,10/4/93,11226
HEATHER,KLEIN,4/25/89,11227
ANNA,WILLIAMS,1/6/55,11109
KATHLEEN,BROWN,10/23/85,11109
MARY,MARTIN,3/13/80,11226
TINA,SALAS,5/24/51,11377
MARY,ROBERTSON,7/30/88,11227
NANCY,HESS,1/25/97,11226
BETTY,CARR,11/2/80,11226
ELIZABETH,SNYDER,6/26/51,11109
CHRISTINA,WEBB,10/7/45,11109
ANGELA,GUZMAN,8/16/42,11377
JUDITH,MILLER,10/28/88,11226
KELLY,HENRY,7/2/64,11226
KATHERINE,STEPHENSON,10/20/78,11377
MARY,COOPER,9/25/66,11227
MARY,GEORGE,9/11/92,11226
STEPHANIE,BAKER,8/28/43,11226
TINA,MARQUEZ,12/15/99,11227
CHRISTINE,MUELLER,9/21/47,11109
ROSE,GOODWIN,1/17/67,11109
MARIE,HICKS,12/23/68,11226
SHIRLEY,JOHNSON,8/5/80,11109
JOAN,ELLIOTT,6/10/64,11226
STEPHANIE,JACKSON,6/10/42,11226
RUBY,JONES,7/27/45,11226
KELLY,JONES,5/25/74,11226
BRENDA,DIXON,6/24/43,11226
BARBARA,WILKINS,6/21/97,11109
LINDA,GARCIA,2/19/63,11226
PATRICIA,BOLTON,7/1/73,11226
SHARON,PRUITT,3/8/52,11377
JESSICA,BARRON,11/14/71,11109
BARBARA,HARPER,3/11/48,11227
NICOLE,THOMAS,4/24/71,11226
RUTH,MARTIN,1/21/61,11227
DOROTHY,CLEVELAND,3/21/88,11226
NANCY,CARDENAS,7/6/49,11226
LORI,GUTIERREZ,6/22/55,11377
JUDITH,JOYCE,9/12/54,11227
SARAH,DEAN,11/9/77,11227
NORMA,KELLEY,1/9/73,11377
MELISSA,GARRETT,10/11/87,11377
BEVERLY,MILLER,3/19/82,11226
AMY,BOYD,8/2/63,11226
KIMBERLY,ANDERSON,5/12/52,11227
ANN,MCCULLOUGH,1/31/85,11226
AMY,HUFF,9/23/59,11109
CYNTHIA,BARBER,5/15/55,11227
JENNIFER,SAWYER,5/31/68,11377
SARA,TURNER,12/29/48,11109
CATHERINE,ALLEN,6/12/41,11226
REBECCA,JORDAN,10/9/94,11109
JUDITH,GRIFFITH,10/2/89,11226
DONNA,ROBERTS,6/15/88,11377
NORMA,WALTERS,4/23/88,11109
VIRGINIA,MOORE,2/9/97,11226
REBECCA,CROSBY,12/4/55,11226
SHARON,MEDINA,5/7/69,11226
MILDRED,FORD,9/21/89,11226
ROSE,GRANT,10/15/85,11226
CAROL,BREWER,7/22/84,11226
MARY,LEE,7/13/76,11227
REBECCA,STEELE,7/1/50,11109
JANET,DUNLAP,7/25/43,11109
BARBARA,CARTER,4/26/82,11377
JESSICA,HENRY,9/8/64,11226
NANCY,NORRIS,8/1/66,11226
MARIA,WOLFE,3/29/91,11226
LAURA,HILL,11/14/62,11227
KAREN,TURNER,5/8/81,11226
FRANCES,DAVIDSON,8/29/79,11226
KATHRYN,BARNES,9/30/73,11226
MARTHA,LOGAN,7/21/48,11227
MARY,DUNLAP,6/24/54,11226
SARAH,OWENS,4/28/49,11226
MARY,OLSEN,9/29/40,11226
JOAN,LEONARD,3/7/93,11226
IRENE,HALL,1/8/49,11109
BARBARA,PARKER,2/5/42,11227
PHYLLIS,SANDERS,12/3/78,11226
ANGELA,REYNOLDS,9/20/59,11226
JENNIFER,ADAMS,11/22/43,11226
DIANE,TERRY,8/19/81,11377
AMANDA,CONTRERAS,6/14/54,11226
MELISSA,FRANCIS,3/1/73,11226
SARA,OLSON,3/1/52,11109
JENNIFER,HESTER,8/14/53,11226
MARY,MARTINEZ,5/29/53,11227
ANNE,PHILLIPS,7/9/95,11227
KAREN,MASON,8/21/67,11109
RUBY,COOK,4/8/72,11226
DONNA,TRUJILLO,8/4/82,11226
NANCY,THOMPSON,9/22/77,11227
ANN,HYDE,12/7/64,11226
SANDRA,SAUNDERS,8/29/51,11226
DENISE,PERRY,4/5/43,11226
JENNIFER,HOGAN,6/18/77,11226
SUSAN,CONLEY,6/5/82,11227
DOROTHY,BAILEY,9/3/78,11226
JESSICA,LEWIS,12/2/79,11109
ALICE,NEAL,4/21/46,11226
LINDA,BURNS,3/11/86,11227
MARGARET,JONES,12/6/76,11226
BARBARA,JENKINS,5/22/60,11227
NANCY,SHAW,7/19/60,11377
NANCY,FOX,12/9/83,11226
MARY,ARNOLD,5/21/48,11227
BRENDA,PRICE,4/11/80,11227
MARIA,MORGAN,7/25/62,11109
DONNA,ROBINSON,8/8/49,11227
CAROLYN,BAKER,2/19/49,11226
ANGELA,RICE,4/3/42,11377
AMY,BARBER,10/27/76,11227
SARAH,PATTERSON,3/9/45,11377
KATHRYN,WILKINS,6/3/73,11109
JULIE,ARNOLD,12/24/69,11226
JANICE,MATTHEWS,3/10/72,11226
ROSE,LINDSAY,2/5/48,11109
LINDA,CAMPBELL,10/20/93,11226
KELLY,SULLIVAN,3/31/92,11109
SARAH,FOWLER,1/1/55,11227
MARY,DAVIS,6/13/47,11377
LISA,MILLER,2/13/60,11226
HELEN,PALMER,10/27/48,11227
JACQUELINE,HOWARD,5/9/55,11227
KATHRYN,TORRES,4/5/49,11226
HELEN,WOOD,9/15/63,11227
VIRGINIA,YOUNG,5/24/40,11226
LINDA,MILLER,1/21/63,11227
PATRICIA,MORRISON,12/10/88,11109
MARY,REYNOLDS,5/11/60,11227
KAREN,WHITE,7/4/88,11377
JENNIFER,WEST,1/27/82,11226
CHRISTINE,JOSEPH,2/15/73,11377
ANGELA,TAYLOR,7/4/96,11377
BETTY,EVANS,3/16/83,11226
DENISE,HOPKINS,8/19/60,11226
ANNIE,RODRIGUEZ,12/17/72,11226
MARY,BENNETT,2/27/63,11109
SANDRA,DIAZ,7/4/55,11377
HELEN,COOPER,11/23/78,11109
JESSICA,MCDONALD,9/26/69,11226
KATHERINE,RANDALL,11/2/77,11226
MARIA,MAXWELL,1/28/67,11109
PATRICIA,MILLS,6/30/55,11227
CYNTHIA,MARTIN,8/17/58,11226
MARY,HILL,3/12/59,11226
JULIA,PHILLIPS,10/29/66,11227
FRANCES,JONES,5/6/65,11227
MARY,MARTIN,7/12/50,11226
JENNIFER,PAYNE,6/1/58,11226
ELIZABETH,ORR,9/30/82,11226
TERESA,MERCER,12/28/49,11109
IRENE,MORGAN,11/25/60,11226
KATHERINE,MORGAN,2/9/90,11227
TAMMY,PERKINS,4/20/88,11227
JANET,MARTINEZ,12/8/42,11377
ELIZABETH,SMITH,1/6/56,11226
BRENDA,KEITH,5/26/93,11227
SUSAN,FERRELL,1/25/48,11226
WANDA,MARTINEZ,7/20/63,11226
MICHELLE,JENSEN,8/19/73,11109
LOIS,TAYLOR,10/29/40,11226
NANCY,ROGERS,5/17/83,11109
ROBIN,JACKSON,1/25/72,11226
ELIZABETH,TRAN,4/11/55,11377
ANGELA,SOLOMON,8/25/48,11109
JACQUELINE,RICHARDS,10/23/91,11377
LISA,PHILLIPS,9/28/47,11109
BETTY,WAGNER,3/23/86,11377
KATHLEEN,PERRY,11/23/40,11226
BEVERLY,HENDERSON,4/7/57,11109
THERESA,ELLIS,4/7/94,11226
TAMMY,HERNANDEZ,5/29/83,11226
JUDY,HARRIS,6/12/49,11227
RUTH,MCKEE,10/26/43,11226
SANDRA,HUDSON,10/10/71,11109
BARBARA,COX,7/16/94,11109
DEBORAH,HARDY,8/28/40,11109
IRENE,RICHARDSON,5/12/65,11227
THERESA,FLORES,8/29/77,11227
SHIRLEY,RODRIGUEZ,2/18/97,11226
DEBRA,KENNEDY,11/1/46,11226
WANDA,CANTU,12/21/90,11227
CYNTHIA,GONZALES,12/6/52,11109
DEBRA,LOVE,11/17/68,11226
MARY,BANKS,6/3/79,11226
ANGELA,HARRIS,7/29/54,11226
MARY,LUCAS,7/28/78,11226
JULIA,MORALES,7/24/51,11377
AMANDA,CHARLES,2/22/98,11226
KAREN,CRAWFORD,10/9/64,11226
VIRGINIA,HUGHES,10/20/94,11109
HEATHER,BATES,5/18/54,11226
PHYLLIS,RAY,11/19/61,11226
DOROTHY,WILLIAMS,12/24/98,11377
BETTY,HERRERA,7/1/55,11226
HELEN,BOYD,10/23/88,11226
SARAH,MILLER,7/3/98,11226
STEPHANIE,KING,2/1/56,11227
PATRICIA,WILLIAMSON,9/16/84,11109
RUBY,DAVIDSON,12/26/56,11377
CAROL,FOWLER,7/6/80,11226
LINDA,CARPENTER,9/14/62,11226
BRENDA,DAVIS,8/18/48,11226
LILLIAN,MANNING,12/12/53,11226
ANDREA,ROSE,3/30/72,11226
BARBARA,PORTER,5/10/75,11109
KAREN,MCLEAN,3/28/42,11377
LORI,CUMMINGS,9/19/77,11226
REBECCA,WILSON,9/27/72,11109
SHARON,SCHULTZ,12/25/75,11377
BRENDA,WASHINGTON,11/12/64,11377
DONNA,OCONNOR,9/24/48,11226
AMANDA,RUIZ,2/18/57,11226
DENISE,GRIFFITH,2/2/98,11226
MARGARET,ATKINSON,5/28/74,11377
BRENDA,HAMILTON,10/12/97,11377
DOROTHY,HARRIS,7/19/60,11226
ELIZABETH,DAVIS,12/2/44,11226
ANGELA,REYNOLDS,11/4/70,11226
LAURA,SALAZAR,9/5/97,11227
MARY,HERRERA,7/1/68,11377
DEBRA,RICHARDSON,3/1/84,11226
GLORIA,TERRY,5/22/43,11226
VIRGINIA,WADE,5/2/89,11227
ELIZABETH,JONES,12/31/74,11226
CHRISTINA,RICHARDS,11/28/79,11377
KATHRYN,SMITH,11/22/74,11226
JULIE,ROBINSON,6/27/83,11377
BARBARA,HENRY,6/29/85,11109
ROSE,COLLINS,5/6/95,11227
DOROTHY,KING,5/28/56,11377
LOUISE,BROWN,10/15/78,11226
EVELYN,MARTINEZ,10/21/98,11226
BARBARA,WILLIAMS,7/19/61,11226
AMY,BRUCE,9/23/60,11109
JENNIFER,WRIGHT,1/17/57,11227
LORI,PORTER,8/16/69,11226
JOYCE,WILLIAMS,8/27/43,11226
BRENDA,PATE,9/21/71,11226
MARIA,ORTIZ,11/22/42,11226
STEPHANIE,MARSHALL,7/2/78,11109
BETTY,WYNN,6/11/45,11226
SARA,GREEN,9/27/95,11377
MARGARET,HAMILTON,7/20/56,11226
JANE,JOHNSON,6/16/60,11226
MARY,ROBERTS,11/7/66,11226
TINA,WARREN,10/15/98,11226
DONNA,JACKSON,9/21/43,11227
ANN,HARRISON,10/2/83,11226
LISA,COOPER,7/4/86,11377
SANDRA,SPENCER,4/14/42,11226
CAROLYN,CONNER,12/18/84,11377
MARY,WILLIAMS,9/19/50,11226
JENNIFER,MOONEY,6/1/81,11109
LAURA,JONES,7/27/64,11226
LINDA,STEWART,7/11/74,11226
DEBORAH,MATHEWS,2/16/47,11227
JOYCE,JONES,1/7/82,11226
SHARON,HOGAN,10/3/77,11377
HEATHER,JOHNSON,12/18/58,11227
CAROLYN,GRAHAM,9/2/55,11226
REBECCA,THOMAS,7/21/61,11226
BONNIE,FLOWERS,12/23/84,11227
TINA,MARTINEZ,5/30/92,11227
BETTY,STANLEY,4/12/95,11226
CYNTHIA,WISE,5/12/66,11227
CYNTHIA,POTTER,4/27/45,11109
BONNIE,GEORGE,10/25/66,11109
PHYLLIS,FITZGERALD,7/27/67,11109
LOIS,RASMUSSEN,3/1/56,11109
KATHERINE,BOYD,10/16/49,11226
ROSE,ALEXANDER,11/24/51,11226
JACQUELINE,BULLOCK,9/19/92,11226
SARA,WEST,5/18/74,11226
MARY,HENSLEY,7/30/65,11377
LORI,WILEY,11/25/42,11377
RUTH,RODRIQUEZ,9/18/77,11109
DONNA,KING,3/28/71,11226
JANET,FRANKLIN,2/2/45,11226
SUSAN,STANLEY,2/28/87,11227
ROBIN,HULL,5/18/80,11109
DIANA,MILLER,3/27/58,11226
ELIZABETH,PETERS,2/23/59,11226
JANICE,SANCHEZ,9/4/74,11226
ELIZABETH,BEACH,5/7/82,11226
BRENDA,STEELE,3/25/96,11377
THERESA,BAILEY,2/10/56,11377
LAURA,FIELDS,4/10/75,11226
SUSAN,TAYLOR,9/19/79,11227
VIRGINIA,YOUNG,2/10/54,11226
LOUISE,SIMON,7/31/85,11226
MARY,ELLIS,8/13/44,11377
LAURA,HINTON,5/1/81,11227
DEBORAH,ARNOLD,6/11/63,11226
LINDA,CLARK,8/8/51,11226
MARIA,ROBINSON,1/13/97,11109
MARY,CARR,11/6/79,11377
DORIS,MCCRAY,2/23/64,11226
BONNIE,HARRISON,3/18/78,11226
ANNIE,ONEAL,11/12/97,11227
JUDY,RUIZ,11/16/83,11226
MARTHA,RODRIGUEZ,2/13/42,11226
LINDA,HILL,1/8/52,11226
SHIRLEY,LONG,9/3/60,11377
SHARON,MORENO,10/6/44,11227
DORIS,KOCH,6/14/87,11226
LINDA,SMITH,7/15/94,11109
ANGELA,HOLLOWAY,12/1/75,11227
KAREN,HOWELL,2/20/83,11226
LINDA,LONG,5/7/83,11377
KATHRYN,JONES,3/27/63,11226
FRANCES,MARTIN,11/1/40,11226
MICHELLE,COLE,4/4/48,11226
MARIA,BLACK,7/7/71,11226
ANN,MCINTOSH,12/21/63,11109
GLORIA,STEWART,11/3/52,11227
WANDA,CRAWFORD,12/29/68,11226
BETTY,HARRISON,8/14/66,11226
JANICE,PARKER,5/11/59,11227
SHARON,KELLER,3/2/64,11109
SARAH,MOORE,11/28/90,11226
JESSICA,WOODS,5/31/94,11226
MARY,DIAZ,7/13/63,11226
ANGELA,WASHINGTON,1/2/61,11226
DONNA,ROBINSON,3/23/60,11109
JULIE,DUNCAN,12/18/74,11227
CHRISTINA,GRAHAM,2/26/54,11226
NANCY,ODONNELL,8/24/54,11109
DENISE,DAVIS,12/13/93,11226
PAMELA,PEREZ,1/4/55,11226
SHARON,WALTON,12/25/85,11227
JOAN,SHAFFER,9/30/71,11226
PATRICIA,YOUNG,7/9/48,11227
TINA,WILSON,9/7/68,11226
AMY,TUCKER,4/27/68,11226
IRENE,COX,8/20/73,11109
SHARON,PRICE,3/14/62,11377
BARBARA,DALE,1/14/88,11227
DOROTHY,HAWKINS,6/16/97,11226
LILLIAN,HENDERSON,9/5/61,11226
DONNA,PAYNE,11/10/83,11226
FRANCES,BARBER,1/26/51,11226
SARAH,YOUNG,2/18/67,11377
DIANA,JOHNS,6/8/93,11109
JENNIFER,KLINE,7/27/56,11226
KAREN,JONES,2/18/93,11377
SARAH,STEELE,4/15/65,11226
LISA,THOMPSON,3/7/43,11226
MARIE,DAVIS,4/24/56,11226
HELEN,ONEILL,7/10/81,11377
RUBY,BURGESS,6/25/60,11226
MARIE,FRANKS,11/2/91,11227
CHRISTINE,THOMPSON,3/15/69,11377
AMY,BROWN,7/30/43,11226
LORI,LAMBERT,7/14/98,11226
JANET,HODGES,5/29/55,11377
HELEN,BLACK,5/4/67,11226
DIANE,JACKSON,9/4/57,11377
MARTHA,WALKER,9/7/55,11227
LINDA,FORD,11/24/68,11226
SARAH,WILKINS,9/28/92,11377
MARIA,MCLEAN,1/18/52,11227
LINDA,SKINNER,3/22/41,11109
ANNIE,ARMSTRONG,12/11/49,11377
THERESA,KRAMER,9/30/78,11227
BETTY,GARDNER,3/10/59,11109
DORIS,HART,7/19/77,11226
JEAN,DAVIS,3/24/41,11227
MARIA,LEE,4/30/68,11109
DORIS,WARD,11/24/74,11227
SARA,MILLER,2/11/91,11227
NANCY,MILLER,9/4/83,11226
TINA,DAVIS,6/27/69,11377
PHYLLIS,SMITH,6/7/88,11226
SARAH,HUMPHREY,3/6/84,11109
SHIRLEY,MENDOZA,1/10/69,11226
ANGELA,WALKER,3/14/75,11226
ELIZABETH,MCCARTY,10/3/88,11226
MARGARET,CLARK,4/14/92,11226
LINDA,CHURCH,4/21/73,11377
AMANDA,FORD,7/2/82,11226
BARBARA,CASTILLO,5/25/66,11226
LINDA,MCPHERSON,5/26/90,11226
MARIE,WYNN,6/26/56,11226
CHRISTINA,COOPER,6/8/85,11226
CATHERINE,GRANT,3/4/61,11226
ANNA,WRIGHT,7/28/69,11226
AMANDA,GLENN,5/1/55,11226
LINDA,DAVIS,3/4/42,11227
MICHELLE,FERRELL,2/15/57,11109
RUTH,ALVARADO,10/1/42,11226
DONNA,AYALA,7/27/60,11226
JOYCE,MENDOZA,9/4/98,11226
MELISSA,DAVIS,2/28/61,11227
BETTY,COLLINS,8/2/58,11226
HEATHER,WILSON,6/9/53,11227
JANICE,MARSHALL,3/10/89,11226
NICOLE,DAVIS,8/6/69,11226
CHRISTINE,WOOD,10/8/85,11226
THERESA,WOLF,7/17/60,11109
MARILYN,HALL,11/2/77,11227
DONNA,GRANT,11/16/46,11226
ANNA,LOPEZ,1/31/60,11227
SHIRLEY,FOSTER,12/24/58,11377
CATHERINE,MITCHELL,10/8/54,11227
LAURA,RASMUSSEN,8/17/89,11109
KIMBERLY,LEVINE,10/25/49,11226
KAREN,ALLEN,4/14/76,11109
LISA,HALL,9/8/91,11227
DORIS,MCKENZIE,4/20/41,11226
CYNTHIA,MOORE,2/5/72,11109
MARIE,DURHAM,4/17/91,11109
MELISSA,STONE,9/5/42,11109
MELISSA,REID,12/29/61,11377
VIRGINIA,MAYER,5/14/40,11109
MARY,HARRISON,10/6/76,11226
ANDREA,STEVENS,10/18/41,11377
PAULA,MILLER,1/1/85,11109
EVELYN,BELL,7/26/83,11226
LINDA,HENDERSON,2/2/61,11227
BETTY,JONES,6/2/42,11226
VIRGINIA,COHEN,4/22/78,11226
MARY,WOLFE,2/10/74,11227
