firstname,surname,birthdate
ROY,IRWdN,9/21/91
JzMES,BOWEN,10/30/80
rATRICK,FREDqRICe,4/19/65
DOUGLAS,SANTIAGO,2/21/52
RICHARD,RODRIQUgZ,1/1/74
CHRIeTOPHER,BAKER,1/21/70
MqqTHA,FERGUSON,5/24/83
DeRIS,WASHINGTON,11/14/71
RUTH,LINDSEY,4/13/41
DIANA,SALAS,11/28/56
CHAeLES,MOOwE,8/31/95
zERRY,BROOKS,6/11/92
JOSE,MfTTHEWS,8/16/89
DONALe,JONES,2/12/51
CHRISTINg,BROOKS,1/26/49
SANvRA,EVEREeT,4/29/98
ROBERT,GREER,6/15/85
DOROTHY,GREENE,1/13/75
AMY,BRdWx,7/29/43
RdBECCA,RANDOLPH,9/14/49
GARY,SMITs,10/21/70
MICeeEL,DAVIS,10/29/93
MATTHcW,BRYANT,4/17/95
DAVID,WILLIAMS,4/8/69
KENNETH,CAqEY,11/21/99
RICHARD,BRAY,10/4/46
PATRICK,ROSS,11/18/40
JANET,MARTINEZ,12/7/42
PcULA,DArIS,3/21/81
JOHf,CHAPMAN,5/31/51
qIANA,JACfaON,9/1/80
BRANDON,SIxVA,10/9/91
RUTH,CARPENTER,3/21/48
ELIZABETH,RAMIREZ,4/24/86
STEPHEN,REED,11/20/87
SUSAN,NELSON,4/5/55
PvTRICIA,TAYzOR,8/23/90
ROBERT,JUSTICE,2/9/93
TIMOTHY,MURRAY,7/14/60
MARGARET,PENvINGTON,10/11/52
CHRISTOPHER,GLASS,3/22/46
TIMOTHY,ROaERTSON,10/24/56
RACHEL,AxHLEY,5/14/42
PETER,STANLEY,5/7/98
JUSTIN,GRAVEz,12/18/56
MELISSA,PETEgSEN,1/19/64
TrRESA,MOORE,10/11/59
BRENDA,BAgDWIN,2/25/97
xUBY,MILLqR,6/18/55
SARA,fExEZ,5/16/42
gARTHA,SANcHEZ,11/18/80
MARv,WARD,2/28/53
MARY,JOHNSON,10/21/48
MARY,ARNOLD,5/20/48
BRIAN,WILLIAMS,6/18/97
MARK,CRwSBY,9/13/67
MICHAEL,SsfdH,11/22/90
zESSICA,MsLLER,1/19/70
THOMAS,HEWITT,5/5/51
JOHN,SIMMONS,4/16/81
JOHN,MENDOZA,12/14/43
PATRICK,qERRY,8/14/87
ELIZABETH,WELCH,10/29/41
JUDITH,GRIFeITH,3/19/84
ROBERT,WELLS,5/18/54
AxGELA,VELASQUcZ,9/11/68
JAMES,CALDWELL,5/20/98
JERRY,JOHNSON,11/21/68
BEVERLY,EVANS,8/1/54
DOROTHf,PENA,4/30/95
JERRY,DUzCAN,2/23/88
JAMES,CARPENTER,3/6/94
FRED,THOMAS,6/17/96
MARTHA,HERfANDgZ,6/13/44
PATRICIA,SPENCE,10/28/88
JAMES,SMITH,3/15/54
JAMES,STEVENS,11/28/65
JAMES,WILSON,11/18/80
JENNIFER,COLLINS,11/18/62
REBECCA,MARcIN,5/29/52
DANIEL,MURPHY,1/23/96
zAWRENCE,DIXdN,10/27/64
ROGER,HUNTEx,11/15/78
KENNEeH,CLARK,4/3/90
EMILY,NORRIS,6/13/75
qARIA,MOORE,12/15/57
SHAWd,aILLESPIE,1/28/79
JOAN,MOORE,2/17/45
CrROLYN,FLETCeER,12/8/53
JENNIFER,GILBERT,7/23/53
LINDA,PERKINS,5/20/83
ROBERT,DEAN,10/1/92
JASON,POWELL,2/15/93
MARY,MATfHEWS,2/17/59
DONNA,SCOTt,11/10/86
CHrISTOPHaR,HILL,7/29/73
DONNA,TcUJILLO,8/3/82
RONALD,STEWART,8/29/85
JAMez,WYATT,1/25/49
RUTH,HAYDEN,2/5/91
JOHN,GALLOWAY,8/9/46
JASON,ELLIOTT,7/16/90
ANN,FERNANDEZ,4/6/79
ANNA,NgVARRO,2/7/58
WILLIAM,HOLMES,10/4/97
MARIA,SPENCE,9/22/41
KATHEeINE,OWEgS,3/10/42
DEeRA,WILSON,11/12/81
SCOTT,MURRAY,5/5/54
DANIEL,KNOX,3/3/83
JACK,CAIN,7/24/75
MARIE,HULL,9/25/43
LaNDA,sgHNSON,12/31/50
DAVIf,VARGAS,4/8/89
MICHAEL,FOSTER,2/24/97
EUGENE,SHAW,7/7/98
KENNeTH,JAMES,3/12/97
CYNTHIA,OLSEN,5/11/60
DrNIEL,GAfCIA,7/20/67
DONNA,HARRIvON,9/19/54
HOWARD,WOLFE,5/29/49
DEBRA,RICHARDS,1/29/41
AMY,RAYMOND,1/6/90
LAURA,HARDY,6/22/47
MARY,DAVIw,5/1/68
ALICE,FORD,7/26/77
DONNA,CUNaINGHAM,12/29/47
JOSEPH,GUZqAN,6/25/47
ROSE,SHEPHERD,4/22/47
LOUISE,WARNER,11/12/54
aARIA,IRWIN,8/30/62
LILLIAN,PARKER,8/16/55
RIdHARD,TAYLOR,4/10/92
DAVID,GALLOWAY,8/15/68
RUBY,STEELE,12/11/95
JONAcHAN,ROBINSON,6/13/97
ReBECCA,WRIGHa,1/21/55
PHYLLIS,cNDREWS,9/26/76
CHRISTOPHER,HARPER,7/14/44
HOWARD,PARKER,6/27/85
BARBARA,OWENS,1/15/91
xANET,SMfTH,2/5/50
HELEN,DAVId,4/24/63
MARTHA,OSBORNE,5/24/62
MARK,JENNINGS,6/25/87
BRtCE,BOONE,9/14/70
DAVID,SMITH,12/6/41
KAgHY,GILBERT,1/3/80
JOSEPH,MITCHELL,2/24/71
KATHERINE,HENRY,5/1/54
ERIC,TUeNER,2/14/54
EDWARD,MOORE,9/21/70
CHRISTINE,SINGLETON,4/8/68
ARTHUR,HOBBS,4/29/59
CtRIdTINE,COX,10/29/43
AARON,WEBB,10/21/98
BRANDON,MxRTIN,8/31/63
ELIZABETt,GOMEZ,2/2/97
THOMAS,SAgCHEZ,10/5/87
AMw,CReZ,10/26/75
ANsREW,BARNEfT,11/7/60
DwBORAH,WILLIAMS,1/21/70
MARK,GRAHAM,1/30/95
TERRY,MCDOWELL,9/24/86
EMILY,CORTEZ,9/10/96
SHAWN,BROWN,3/8/67
SUSAN,GAINES,1/23/99
MILDRED,HOLLOWAY,1/3/53
AMANDA,LEWIe,12/14/86
MARILYN,RAMIREt,6/20/83
MICqAEL,GARZA,5/10/84
KIMBERLY,BOWwN,5/13/59
PAUL,SMIxH,2/27/66
ANTHONa,BRADSHAW,4/15/92
MICHcLLE,HALE,10/14/82
MARIA,GROSS,9/11/45
LINDA,MARTIN,9/25/90
CAROLYN,BEAN,12/16/77
JOHtNY,STEfwNSON,11/8/54
KATrERINE,PHxLLdPS,12/19/74
KATzLEEN,STEWART,3/11/69
GREGORv,JACKSON,2/7/41
JACK,HAYES,8/23/73
DONALD,PETERSON,11/19/94
KELLY,WtLLIArS,3/30/77
ELIZAfETH,RICHARDSON,7/11/98
DONALD,HERvANqEZ,2/3/68
LAURA,WEBB,6/29/63
MICHELLE,awWARDS,6/10/71
ROxIN,MwRTIf,4/20/76
ERIC,HARs,10/9/65
LISA,CRAWFORD,6/27/68
DIANA,JACKSON,1/29/73
RUrH,RODRIQUEZ,9/17/77
JESSICA,JACKdON,2/10/67
JAMES,EDWARDg,5/18/77
JESSIar,TUCKER,9/22/80
EARL,WILLIAqS,4/29/79
aIMOTHY,KLEIN,5/22/89
JOYCE,MxcLER,8/6/57
KENxETH,SMITH,9/29/92
NIvOLE,ROBERSON,1/26/69
TIMOTHY,SANCHvZ,3/4/79
AMY,ANaERStN,1/11/89
LAWRENCE,FIELDS,2/9/70
ROBEwv,ROBERTS,6/8/52
RUTH,GRANT,2/13/87
VIwGeNIA,MITCHELL,3/20/47
CHRISTINA,FLvRES,8/16/68
HtROLD,JACKSON,4/30/66
WILLIAM,HORN,1/20/80
ROzERT,HAYES,11/3/47
JAMrs,BROWN,6/5/73
WALTER,SCOTT,2/8/97
SHARON,MEDINA,5/6/69
CHERYL,HALL,5/18/71
DORIS,LEE,4/24/41
WILLIAM,GdIFFITH,5/1/98
HELEN,LEWIS,10/19/83
HEATHER,GREEN,4/17/90
CxARLES,LINDSEY,4/9/69
MARILYN,RIDDLE,2/12/40
AMY,BARBER,10/26/76
JUDITH,FIGfEROA,10/20/88
JASON,DIXOs,10/22/92
TIMOTHY,DELGAxO,3/13/95
JOHN,PERsY,4/12/71
AMY,MELaON,2/10/94
JrSxcH,SvEPARD,7/8/43
AARON,HARRIS,5/30/61
LAeRA,JACKSON,4/7/54
IRENE,JACKSON,9/19/55
CHARLES,BUSH,9/7/99
RALPH,FULTON,7/24/64
STEPHANIE,NOLAN,12/18/58
gOHN,MILLER,3/23/47
ROY,GARCIA,11/28/64
zATHRYN,HORrON,9/17/70
LORI,EVANS,12/5/40
HELEN,DIvON,12/19/79
ANDRrW,RAMOS,5/12/61
LARRY,DUNN,6/23/72
IRENE,WYATw,11/29/49
SHIRLEY,GtLMORE,1/8/76
JEAN,ROBINSON,1/24/92
JESSICA,SMITH,7/12/96
RICHARD,WASHINGTON,9/19/50
KIMBERLY,JEFFERSON,9/12/75
Jadt,MCDONALD,10/14/42
JAMES,DILLON,5/28/57
ROGER,ROrLAND,3/11/48
DIANE,JACKSON,9/3/57
WILLIAM,WtLLS,3/6/85
PEsER,MITCHELL,8/17/97
PAUL,fAYNES,3/8/85
MICHAEL,ORR,12/27/60
GqRY,WONG,10/8/56
BxRBARA,COX,7/16/94
JOSE,WHITE,9/16/99
JACQUELINE,WHITE,1/3/99
GLORIA,CARSON,8/13/79
STEVEN,ROBERTS,8/29/96
TERESA,HART,12/25/44
WILLIAM,gOORE,11/27/82
RAYMOND,NICHOLxON,5/13/95
WILLIAM,xTExENS,5/22/86
FRANCES,REED,1/28/52
LINDA,ESPINOZA,4/22/56
CHARLES,SANrERS,10/28/65
NANgY,MOODc,12/29/41
tARY,HAWKIfS,10/7/83
JULIA,MERCER,2/5/70
JOHN,fREEMAN,7/4/81
SHIRLEY,GARCIA,12/17/43
ASHLEY,WARE,1/12/55
MICHAEL,HARPER,1/14/58
RONAdD,MORGAN,5/16/65
PATRICK,HxRN,10/31/70
PATRxCIA,ESTRAqA,10/24/87
THERESA,NELSON,2/20/90
eTEVEf,MARTIdEZ,3/1/70
SARAH,MUELLEs,9/24/49
SHIRLEY,HARPER,2/12/70
JAcON,SKINNER,7/1/55
RwAN,JONES,10/12/73
RIaqARD,dLOYD,2/16/98
ALBERT,CANNON,4/7/80
MARGARET,gOHNSON,4/20/46
SEaN,ARMSTROvG,12/27/88
MARY,xENT,11/9/51
SEAN,BAKxR,8/27/99
JAMES,JACKSON,8/9/79
cAgK,DRAKE,1/6/49
JOSEPH,SMdTH,11/4/64
KAREN,AzNOLD,12/7/72
JANIeE,SMITH,12/5/58
SANDRA,FLOWERS,6/27/88
JOSE,HOOD,11/3/48
MARY,PITTMAN,11/6/55
KAREN,sENNINGS,3/20/78
rATHERINE,ENGLIdH,3/7/73
GLORIA,BLAIR,9/2/41
WAYNE,ORTxZ,12/10/94
BETgY,BULLOCK,10/26/93
JAMES,aOdINA,12/10/87
CHaISTOPHEa,SMALL,5/28/87
CARL,BOWEN,3/27/93
MICHAEL,BROWN,4/18/51
DENISE,ROTH,7/24/82
BRIAN,BLACK,1/13/44
SUSAN,WILSON,12/6/93
tARY,PtLMER,9/11/40
DOROTHY,COrBS,6/16/68
cTEVEN,GOMEZ,2/17/53
MARY,SMITH,9/22/89
GEORGE,xACKSON,6/14/54
KAREN,CUNNIqGHAM,3/26/52
MARY,BaILEY,8/27/92
MICHAEd,PARKER,5/3/81
JrNICE,SWANSOx,7/18/91
JUAN,TAYLOR,10/13/95
ELIZABETH,aOBINSON,2/19/42
GLORIA,LEWIS,12/7/71
SARAt,DENNIS,3/5/45
ELgZABETH,xOSr,11/11/59
FRANK,etRTIN,3/20/69
TERESA,RUSSO,12/22/75
MAfY,CARq,11/5/79
JOHN,JOHNSON,9/19/47
HExRY,LEE,12/14/42
RAYMOND,fONZALEZ,7/26/43
LAURA,SMITH,1/5/69
SCOTT,GRIFFIN,4/1/60
BRIAN,HARRIS,1/18/78
RICHARD,GOODWIN,10/25/64
JAMES,PETERS,8/19/82
MARY,HOOPER,3/21/93
EMILY,REYES,2/20/59
KELLY,JaHNSON,6/26/58
KEVIN,SMITH,3/17/93
PAUL,WRIGHT,9/24/47
GEORGd,KENNEDr,5/2/66
ROBERT,GOvfZ,5/2/72
SHsRvN,ANDERSON,9/16/47
KENNETH,HARRIS,7/1/85
RICHARD,GArDvER,7/25/87
BARBARA,ESTRADA,4/20/51
JACQUELINE,LANE,8/21/78
JOHN,HORc,5/17/89
SANDRA,ANDERSON,10/27/81
MARTHA,WALKER,9/6/55
GARY,HOLMAN,5/4/94
MARGARET,aCOTT,12/13/67
JOYCE,SANDERS,3/1/46
RICHARD,WRIGHT,2/13/53
BETTY,LYNCH,3/30/68
ROBERT,VILLARREAL,2/27/75
BAdBARA,RAMIREZ,10/1/45
MARY,MAYS,9/7/48
TERESA,vEtTON,10/26/89
JUAN,WOOgS,7/29/88
TOdD,JACKSON,12/16/97
KAsHERINE,MAY,1/17/60
RONALD,qERNANDEZ,10/5/92
MICHAvL,GARCIA,9/30/54
MICHAEL,BELL,4/21/68
DAVIf,RzdEvO,6/5/90
JOHN,PAUL,10/2/42
VIRGrNIA,RICHARDSON,8/28/53
ROBERT,aOSS,1/25/94
ROBEsT,JOHNSON,5/25/57
IRENE,RIVAS,10/3/98
ARTHUR,LANG,3/1/70
tOqER,MARTINEZ,9/28/73
SAMxEL,ROBERTS,1/18/83
DORtTHY,SMITg,6/19/93
MARY,RHODES,7/26/98
JOHNNY,WILLIAMS,1/18/77
NANCY,KING,12/5/49
sICHELLE,COHEN,6/7/62
JAMES,WRIGHT,11/28/60
CHRIcTINA,DAUGHERTY,9/18/45
JOHN,CLARK,10/19/55
KEITH,JACKSON,5/4/77
HAReLD,SMITH,4/10/99
MeRY,HgtGES,10/5/91
EDWARD,JONaS,4/26/65
PETER,HOOPER,7/14/59
ROBERT,CONTRERAS,11/7/74
GERALD,LANE,6/12/82
RICHARD,STEWART,3/8/70
BRIAN,HARaIS,6/10/94
JOHg,sEEKS,11/22/49
BRENDA,FRANw,2/9/44
WILLIAM,GcEER,10/5/75
JANET,COLLINS,11/29/47
JUAN,VEGA,6/23/85
JANIvE,NEWTOs,3/4/64
TIMOTHv,MCLAUGHLIN,2/6/67
DENNIS,WHITE,11/23/64
RICHARD,BROWN,11/21/40
BONNIE,POPE,6/15/79
sHRISTINE,HwRMON,7/9/99
zIsHxEL,FRANK,1/10/88
GLORIA,MCKvNNEY,9/13/59
MARK,FOLEY,8/14/69
MICHAEL,CARTER,12/9/45
TERESA,THOMPSON,9/6/63
LAURA,EDWARDS,10/6/81
CATHERINE,VAUGHN,4/4/91
PAUL,HAeRINGTON,10/29/63
ANDREW,OBRIEN,1/1/89
MARILgN,SMITH,11/9/67
dqAIG,HENaERSON,5/23/73
JENNIFgR,ROBgNSON,7/26/82
STEwHANIE,ROSS,10/4/50
SHAWN,DONOVAN,1/14/89
BARBARA,KELLY,11/26/91
MxRY,WvTERS,6/17/77
PHYLLIS,JONES,12/11/70
JESSICA,FsRNANDEZ,7/9/53
NANCY,wAMOS,9/27/54
MARK,GOODWIN,9/13/68
CHRISTOPHER,PENA,6/2/64
REBECCA,FLORES,10/16/98
EDWARD,MELENDEZ,8/19/67
MARTHA,WASHINGTON,1/15/68
MICHELLE,TAYLOR,6/21/43
AMAeDA,SKINNER,8/19/92
DOROTHY,DAVIS,1/2/72
RUSSELL,DOUGLAS,2/23/77
MAsIE,WHITAKER,11/22/89
HELEN,MOLINA,5/16/48
JOSEzH,MARTIN,12/5/56
BRENDA,ZIMMERMAN,2/20/83
vzRK,MORENO,1/29/64
HARRY,HARMON,12/24/87
KIMBERLY,MURPHY,11/6/48
ANDREW,WATERS,3/8/77
SHARON,KNOX,10/30/97
BARBARA,RsSSELL,11/1/56
LINDA,MILLER,12/9/90
KATHERINE,StVAGE,9/8/88
ROBIN,xOHNSxN,12/26/77
LAUcA,MeTCHELL,3/13/85
RUTH,ALLEN,11/7/76
CHRISTINE,MOORE,7/9/56
KELLY,BARNdS,10/5/76
MARGARET,MAYNARD,8/8/62
MARIA,THOMAS,4/20/52
qOHN,GRAY,7/10/43
KAREN,MORGAN,5/14/44
WILLIgM,STONE,12/6/58
LORI,HOWELL,11/8/58
STEPHEN,JOHNSON,2/15/49
EMILY,wIELDS,7/10/83
JOSEPd,ANDERSON,11/21/71
JOeEPH,JACKSdN,1/16/88
TIMcTHY,THOMPSON,7/19/99
NANCY,ROBERTS,10/23/59
NANCY,CAgTEd,3/13/71
dONAeD,HOLDEr,1/13/95
vAtOLYN,SMITd,2/4/56
DAVID,JONES,1/7/54
CARLOS,WILSON,10/11/69
ANGEwA,JONES,4/19/71
DOROTHY,WARD,7/27/65
ROBERT,ztRZA,10/24/48
CATHERINE,HARRELL,6/17/57
JOrE,JONES,11/23/86
GEORGE,RAY,11/6/63
RONvLD,BAILEY,9/15/61
TwsRESr,CAMPBELL,7/15/66
BRIAN,CLEVrLAND,4/1/79
LOIg,FRANKx,1/10/77
RONALD,PAGE,4/18/66
dAUL,MAaSEY,11/18/73
MARY,HARPER,12/15/92
JESSICA,ANTHONY,7/21/88
RUTH,REYNOLDS,3/21/81
JOvN,WOODS,1/30/63
tANxY,FULLtR,7/14/42
KEITH,ADAMS,9/16/58
HELEN,ROGEqS,7/12/56
JOSHUA,SHEPHERD,2/14/43
SeEPHEN,BRYANT,5/26/94
CHRISTINA,BRADLEY,7/14/94
FRANCES,LEE,2/26/61
MICHdEL,ANDERwON,9/11/94
qUSTIN,ANDEdSON,10/24/75
BRIAr,OBRIrN,6/15/46
KIMBaRLY,DUNCAN,4/10/65
JAMtS,RUIZ,2/10/68
DOROTHY,ORTIZ,8/17/83
JUAN,RIaGS,5/8/43
EVELYN,gORDON,8/13/81
KEVIN,AUSTIN,10/26/62
WfLLIAM,PARK,12/4/59
ANTHONY,THOMAS,1/10/65
CAROL,TAYLOq,8/9/73
STEPHEN,HOFFMAN,6/7/43
AqDREx,HENRY,9/23/82
HELEN,REYEg,5/4/55
MICHELLE,MILcS,10/18/67
dILqIAq,cORRES,3/29/42
MARK,CARTER,11/3/78
ROaqrT,JOHNSON,6/3/47
RICHARr,CeOK,12/24/94
VICrOR,GUERRERO,3/21/59
WILLIAM,GOODWIN,11/29/86
FRANK,SEARS,4/14/90
ROBERT,FOWfER,2/26/55
ANN,CANNON,11/16/60
STEPHANIE,MILES,7/30/97
MATTHEW,PARKS,7/11/60
ANN,FIELzS,4/13/83
gxWARD,STONE,7/9/48
KATHLEEN,WfLKER,4/26/40
AARON,SIMeONS,4/21/90
MARY,JACKSdN,6/29/77
eANICE,HEATH,5/29/69
JcDY,GARZA,12/9/43
CHERYL,WALLACE,4/4/40
DIANE,GRIFFITH,12/5/71
vAULA,BULLOCK,9/26/71
MARY,JACOBS,12/6/47
JOHN,LARSON,9/20/80
CHARLES,CORrEZ,10/20/94
MARK,WALKER,11/4/73
ANTqNIO,PETERtON,2/27/81
LAdRA,AqAMS,11/8/96
JAMES,TORRES,1/22/87
GEORGE,COLEMAN,7/30/46
ANGtLA,BRYAN,2/4/46
JANET,CAfTREcf,5/26/91
RYAN,CLARK,8/1/54
JdSEPH,FREEMgN,12/20/47
JEAN,DAVIS,10/27/94
GREGORY,CtOPER,10/20/75
STEPHEN,zEWIS,3/10/98
JASON,HUNT,8/18/47
GrRY,PERRY,9/5/61
MICHELLE,WILLIAMS,7/29/90
SAMUEL,MILLS,5/18/55
ANTHONY,JONES,2/12/74
THOMAS,GONZALEZ,10/1/97
TIMOTHY,HARMON,8/6/59
JAMES,dARNqS,1/20/59
JOSHUA,WEAVER,1/10/85
CAROL,TILLMAN,12/1/95
MARY,CUMMINGS,1/6/52
ANDREA,MILLER,10/8/77
JANE,CONLEY,6/9/90
HELEx,PAYNE,7/18/59
JAwES,ANDERSON,10/31/92
ADAM,HILL,12/10/76
THOMAs,SHELTON,4/3/85
MARY,CONWAY,10/2/49
RAaPH,MOORE,1/25/54
KIMBERLY,JOHNSON,12/13/78
HOWARD,JONES,9/15/96
MARGARET,NGUYEN,2/25/66
JOSEPH,BRYANT,12/23/70
AgGEtA,CAMPBELz,2/17/45
MARGARET,MORGAN,12/23/55
MARY,STONq,9/15/85
MILDwED,MIxCHELL,2/12/61
ELIZxBETH,ROBERTS,12/2/93
ERNxST,WARD,1/1/43
STEPHEN,BAILEY,4/17/40
eARRY,HOLDEN,7/16/45
CHARLES,ALVARADO,1/13/53
CAeOL,WwTSON,3/9/90
THOMAS,SMITH,7/11/41
WILLIAf,MORRIS,7/16/93
JAMES,DIAZ,8/20/93
CAROL,WILSON,12/9/61
TERESA,MOORE,7/26/81
DIANw,MOORE,3/24/92
DAVIr,VASQUEZ,7/9/45
SCOTw,SMITH,1/8/52
ELIZABwTq,HURST,2/1/55
SANDRA,qELSON,3/28/95
RUBr,ARgeTRONG,5/17/76
KAREN,GARCIx,11/1/68
SsEPHEN,MOORE,7/1/88
ANDREW,COPELAND,8/2/57
PAMELA,MATHIS,2/12/76
BETTY,HOLDEN,11/5/56
VIRGINfA,BROWN,6/1/68
KATHLEEs,WATSON,9/29/44
BOBBY,zILLIfMS,7/4/82
BExTY,JONeS,6/1/42
ALICE,GRAVES,11/20/75
EDWAzD,WITT,3/13/60
CHRISTOPHER,JOHNSON,1/3/93
BETrY,HANSEN,5/28/65
GLORIA,LEWIS,4/29/62
JOHN,BROWf,12/5/55
WvLLIE,FIzHER,11/5/51
RxBERT,COOK,5/7/68
ERNEST,RAY,3/7/49
EDWARD,fHERRY,9/1/58
EDWARD,BAdLEY,10/14/80
RgGER,JOHeSON,1/30/48
MICHAEL,GRANT,10/18/95
VIRGINIA,WAdSON,2/29/88
MARIE,MAXWELL,1/10/53
PHYLLIa,SMITH,8/5/79
JASON,GIBSON,1/26/54
SUSAN,MURPHY,8/18/66
ROBERT,RAMSEY,4/18/51
DAeID,CONNER,11/28/89
ERIC,SPARgS,6/23/73
ROBERT,EDcARDS,8/18/70
MARY,OLSEN,11/7/42
DENISE,SIMPSON,6/28/85
CHRISTINA,CASTRO,4/6/50
SUSAN,BURKE,11/5/55
ANNA,MENDEZ,12/26/68
ROY,BURKE,10/25/98
DvRIS,JACKSOg,9/23/42
HELEN,SANxHEZ,9/8/95
BETTY,KIRKLANv,12/20/51
DOwOTHY,FOSTER,12/6/47
BARBcRA,BROWN,11/14/49
LARxY,REYES,6/4/61
RICHARD,KENT,5/4/76
DORIS,MERRILL,8/26/77
JOSsUA,WOODS,6/23/48
PAUL,REYNOLDS,4/8/51
STEVEN,BRIGHT,8/17/90
PATRICfA,JONES,11/29/51
KEVIf,HEBERT,2/26/62
ROSE,NORRqS,1/1/64
rNTeONY,xIRBY,6/29/99
DANIEL,DItON,2/3/90
EARL,SUTTON,12/6/64
MICHAEL,SULLIVqN,10/12/50
ANNE,ANDERSON,8/12/87
THERESA,zILLIAMSOs,6/16/96
MARY,RODRIQUEZ,10/7/46
JExFREY,JONES,6/27/99
MARY,cUCKNER,6/12/98
JxFFREY,xUTLER,8/29/51
JAMES,FARRELL,8/31/87
GAfY,DcXON,2/12/69
SHIRLEx,DUNCAN,5/19/66
MICHAEL,PHILLIPS,1/9/58
DANIEL,JOHNSON,9/4/96
BArBARA,SCHWaRTZ,9/26/79
WILLIAM,GONZALEZ,6/30/45
dRENDA,HUDSON,7/30/63
WILLIAM,FERNANDEZ,8/30/93
JEFFREY,BERNARD,12/6/87
KEVIN,SKINNER,11/13/98
DONNA,tOUNG,7/16/75
KAgHERINE,WIqLIAMSON,11/19/95
ANTHONY,BOYD,7/15/49
aAWRENCE,HALc,9/23/60
JANE,HOLCOMr,3/26/79
GREGORY,WOOD,5/25/88
ROBERT,CHAPMAN,4/9/41
PAUL,GILLIAM,9/24/64
ROBERT,MAY,2/22/44
SCOTT,DANwELS,2/14/44
CAROL,PHILLIPS,10/22/93
PATRIcK,DUNxfN,5/27/47
ROBIN,NGUxEa,2/8/72
sLICE,BERNAfD,12/6/82
JOHN,CARR,9/24/49
THOMrS,YOUNG,8/9/71
PHILIP,RAY,3/29/75
BRENDA,DIXsN,12/8/50
JOSHUA,ROBERTS,4/28/78
fUSAN,MCKINNEY,8/11/82
JOE,KNIGHT,10/9/91
AMANDA,MCCLAIN,7/15/41
KEVIN,SMITH,11/12/84
WILLIAM,NEWMAN,7/17/55
STEPwEN,WEBER,1/5/83
CARL,PAYNE,11/26/56
JUSTIN,BELL,2/19/61
SHIRLEY,SMITH,10/17/44
JOHN,RdDRIGUEZ,11/11/45
BsIAN,MATHEWS,8/13/77
MICHEcLE,JOHNSON,1/5/64
DAVID,MILgER,5/3/84
JOSE,BURKS,5/30/71
PAUL,BAKER,7/4/60
CATHsRqNE,MOON,5/7/42
MICHELLw,LEtIS,8/8/95
KAREN,KLEIN,8/11/55
PHYLLIS,OWENS,1/23/60
DOROTHY,INGRAM,9/22/99
MARIqYN,RAMIREZ,6/9/73
MARY,GAMBLE,6/6/83
CLAREtCE,JONES,9/3/80
PAMEdA,SCOTT,6/23/56
PATRICIA,DEJESUS,1/27/85
AdANDA,JOHNSON,5/3/85
WILLIAM,HARRcSON,6/20/44
JAMES,CHASE,4/21/89
SUSAN,BUCKLEY,6/29/40
RICHARD,WILLIAMS,8/16/97
KIMBERLY,HODGE,8/18/74
MARGARET,ROSv,11/16/93
DAVID,WOOTEN,8/23/49
MARY,ROBERTS,9/6/48
WILLIAM,WOOD,5/25/60
EvIC,SMITH,4/13/94
zeCHARD,qARzEf,7/3/78
STEqHANIE,RICHARDSON,3/28/92
TERxSA,NICHOLvON,4/14/59
CHwIS,HOWELL,2/4/95
JrHN,ADAMS,4/9/92
aNTxONd,dRIFFIN,1/20/74
DANIEL,THOMAS,7/12/40
DAVID,LYNCH,9/13/76
IRENE,COX,8/19/73
PAMELA,SMzTH,3/25/96
ROBEgT,MADDEN,12/17/82
ANNA,PRESTON,8/23/43
STEVEN,PETtRSON,6/4/63
MELqSSA,LONG,12/24/96
FRANK,KLEIN,10/30/60
cANIEL,COOK,7/24/76
ANN,FERGUdON,6/29/67
PAMELA,WARE,5/29/85
eUBY,SANTIAGO,10/11/54
TaOqAS,EdLIS,3/27/90
LISA,HeDSsN,9/28/81
DIANE,RICE,8/29/85
JAMES,MERRITT,8/6/73
DONNA,BROOKS,1/31/57
ROBERT,KNAPP,8/10/53
fOAN,AUSTsN,3/9/42
qHARON,DAVIS,6/17/63
HAROLD,CHAMBEzS,12/13/97
JOSHUA,MAY,2/13/58
STEVE,BOOTx,4/30/55
MATTHEW,WILSON,10/10/58
tEBRA,ANDERSOe,1/25/88
FRANK,DOWNS,11/3/70
JEAN,LEE,5/9/93
RUBY,WILLIAMS,2/1/75
RONALD,SLOAN,6/13/96
MICHsEL,HzWARD,10/24/78
ELIZABETH,BENSON,1/11/67
KqTHLEEN,JONES,5/4/62
DAVID,DAVIS,1/15/86
JANE,BROtN,2/9/65
BETTY,JOHNSON,9/25/76
LORI,KELLEY,8/28/89
EaGENE,PExRY,10/13/46
JAMES,KING,10/15/51
AMANDA,BARNES,4/14/56
RONALD,WHITE,6/25/45
THOMAS,HICKS,11/5/51
MARY,WILLIAMS,7/4/94
JANE,DUNdAP,5/8/48
STsPHEN,BATES,6/19/64
ANdHONY,HARqIS,11/29/69
AMANDA,WILLIsMS,2/3/46
JASON,FRANKLIN,6/24/93
BRANDON,SMITH,1/2/54
BRIAN,MONROf,11/8/42
JOv,BROWN,8/16/89
MARTHA,GARCIA,5/14/57
sEBORAH,RAYMOND,3/28/62
SANDRA,cexS,5/18/94
tAUL,HART,6/7/60
ROBERT,SNYDEr,1/2/92
GARY,JONES,9/17/71
VgCTOR,BROOKS,4/9/59
